Atlanta,Chicago,time_rem
1-0,0-1,48M 0S
0,3,47M 42S
2,3,47M 29S
2,5,47M 17S
4,5,46M 40S
6,5,46M 13S
7,5,46M 13S
7,7,46M 0S
10,7,45M 52S
12,7,45M 34S
12,9,45M 17S
14,9,45M 12S
16,9,44M 56S
17,9,44M 56S
19,9,44M 30S
20,9,44M 30S
21,9,44M 2S
21,10,43M 26S
21,11,43M 26S
23,11,43M 9S
23,13,42M 40S
25,13,42M 24S
25,14,42M 18S
25,15,42M 18S
25,17,41M 59S
25,19,41M 36S
28,19,41M 24S
29,19,40M 58S
30,19,40M 58S
30,20,40M 24S
30,21,40M 24S
30,22,39M 53S
32,22,39M 43S
35,22,39M 5S
35,24,38M 51S
36,24,38M 29S
36,26,38M 12S
38,26,37M 58S
40,26,37M 29S
42,26,37M 1S
42,29,36M 49S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
42,31,34M 58S
45,31,34M 53S
45,33,34M 25S
45,35,34M 2S
47,35,33M 34S
47,38,33M 19S
50,38,33M 7S
50,39,32M 53S
50,40,32M 53S
53,40,32M 34S
56,40,32M 12S
58,40,31M 51S
58,42,31M 37S
58,44,30M 36S
59,44,30M 23S
61,44,29M 44S
61,46,29M 27S
62,46,29M 13S
63,46,29M 13S
64,46,29M 13S
66,46,28M 49S
68,46,28M 15S
71,46,27M 39S
74,46,27M 21S
74,47,27M 4S
74,48,27M 4S
76,48,26M 26S
76,50,26M 10S
77,50,26M 3S
78,50,26M 3S
78,53,25M 41S
79,53,25M 33S
80,53,25M 33S
80,56,25M 17S
83,56,24M 55S
83,59,24M 35S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
83,61,23M 32S
85,61,23M 12S
86,61,23M 12S
88,61,22M 20S
89,61,21M 42S
90,61,21M 42S
91,61,21M 42S
91,62,21M 30S
94,62,21M 2S
94,64,20M 27S
96,64,20M 6S
97,64,19M 27S
98,64,19M 27S
100,64,17M 58S
100,66,17M 45S
100,67,17M 22S
100,68,17M 22S
103,68,17M 11S
106,68,16M 47S
108,68,16M 22S
108,69,16M 7S
108,70,16M 7S
108,72,15M 51S
109,72,14M 52S
109,73,14M 48S
109,74,14M 48S
109,76,14M 22S
110,76,14M 6S
111,76,14M 6S
111,78,12M 13S
111,79,12M 13S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
111,81,11M 46S
113,81,11M 0S
113,83,10M 44S
115,83,9M 57S
117,83,9M 2S
117,85,8M 42S
117,87,8M 8S
119,87,7M 56S
119,88,6M 9S
119,90,5M 46S
122,90,5M 30S
122,93,4M 48S
122,95,4M 17S
122,96,3M 44S
122,97,3M 44S
122,100,2M 59S
122,102,1M 59S
122,103,1M 38S
122,104,1M 38S
124,104,37S
End of 4th quarter,NA,0S
