Atlanta,Cleveland,time_rem
13-18,11-21,48M 0S
0,0,47M 43S
2,0,47M 38S
4,0,47M 10S
4,3,46M 48S
6,3,45M 31S
8,3,44M 51S
8,5,44M 37S
11,5,44M 16S
11,6,43M 42S
14,6,42M 20S
14,7,42M 9S
14,8,42M 9S
14,10,41M 33S
16,10,41M 12S
16,12,41M 5S
16,13,39M 46S
16,14,39M 46S
16,16,39M 22S
19,16,39M 4S
19,18,38M 46S
22,18,38M 29S
22,21,38M 15S
22,23,37M 42S
22,26,37M 18S
24,26,36M 56S
24,27,36M 22S
24,28,36M 22S
27,28,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,28,35M 31S
29,28,35M 31S
29,31,35M 18S
29,33,34M 56S
29,36,34M 23S
29,39,34M 2S
29,40,33M 36S
29,41,33M 36S
31,41,33M 2S
31,44,32M 21S
33,44,31M 56S
33,46,31M 44S
34,46,31M 30S
35,46,31M 30S
36,46,30M 32S
37,46,30M 32S
37,48,29M 58S
39,48,29M 48S
39,50,29M 25S
40,50,29M 18S
41,50,29M 18S
43,50,28M 50S
45,50,28M 26S
45,52,28M 9S
45,55,27M 44S
47,55,27M 24S
49,55,26M 42S
52,55,26M 19S
52,58,25M 12S
53,58,25M 6S
54,58,24M 29S
55,58,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,58,23M 27S
57,60,23M 11S
58,60,21M 50S
59,60,21M 50S
60,60,21M 30S
60,62,21M 4S
63,62,20M 47S
63,64,20M 21S
66,64,20M 8S
68,64,19M 51S
68,66,19M 38S
70,66,19M 26S
70,68,19M 12S
73,68,18M 57S
73,70,18M 24S
76,70,18M 8S
76,72,17M 26S
76,73,17M 26S
76,75,16M 12S
78,75,15M 55S
78,78,15M 12S
81,78,15M 0S
81,80,13M 4S
84,80,12M 41S
84,82,12M 28S
84,84,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,84,11M 26S
86,86,11M 7S
88,86,10M 30S
88,89,10M 14S
91,89,10M 0S
93,89,9M 27S
93,92,8M 45S
95,92,8M 26S
97,92,8M 0S
98,92,7M 32S
99,92,7M 32S
99,95,7M 22S
101,95,7M 11S
102,95,7M 11S
102,96,6M 56S
102,97,6M 56S
102,98,6M 33S
102,101,5M 59S
104,101,5M 38S
107,101,4M 57S
107,102,4M 45S
107,104,3M 38S
109,104,3M 15S
109,107,2M 27S
111,107,2M 11S
111,108,1M 51S
111,110,1M 11S
111,112,4S
End of 4th quarter,NA,0S
