Atlanta,Miami,time_rem
14-20,17-17,48M 0S
0,0,47M 35S
0,2,47M 28S
2,2,47M 5S
2,4,46M 40S
2,6,46M 16S
5,6,45M 59S
8,6,45M 37S
11,6,44M 42S
11,7,43M 19S
11,8,43M 19S
11,10,41M 58S
13,10,41M 51S
13,12,41M 34S
13,15,40M 56S
15,15,40M 45S
15,17,39M 56S
16,17,39M 46S
16,20,38M 44S
16,21,37M 2S
16,23,36M 59S
18,23,36M 43S
18,25,36M 26S
18,26,36M 26S
21,26,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,29,35M 13S
21,31,34M 19S
23,31,33M 58S
23,33,33M 40S
23,35,32M 30S
23,37,31M 36S
25,37,31M 14S
25,39,30M 59S
26,39,30M 30S
27,39,30M 30S
29,39,29M 54S
29,42,29M 2S
31,42,28M 36S
32,42,28M 36S
32,44,28M 18S
34,44,28M 4S
34,46,27M 52S
34,47,27M 36S
34,48,27M 36S
35,48,27M 30S
36,48,27M 30S
36,49,27M 8S
36,50,27M 8S
39,50,26M 53S
39,52,26M 33S
42,52,26M 20S
44,52,25M 52S
44,54,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,57,22M 59S
46,57,22M 35S
48,57,22M 23S
48,59,21M 42S
50,59,21M 21S
53,59,20M 58S
53,61,20M 38S
55,61,20M 26S
55,63,20M 2S
57,63,19M 28S
58,63,19M 7S
59,63,19M 7S
61,63,18M 34S
63,63,17M 50S
63,66,17M 39S
65,66,17M 10S
65,68,16M 57S
67,68,16M 32S
68,68,16M 13S
69,68,16M 13S
69,70,16M 2S
69,72,15M 11S
71,72,14M 52S
71,74,14M 1S
73,74,13M 40S
73,75,13M 24S
73,76,13M 24S
75,76,13M 2S
75,78,12M 29S
77,78,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,78,11M 7S
79,81,10M 54S
79,83,10M 3S
79,86,9M 33S
80,86,8M 43S
81,86,8M 43S
81,87,8M 28S
81,88,8M 28S
83,88,8M 8S
83,89,7M 55S
83,90,7M 55S
85,90,6M 4S
86,90,6M 4S
86,92,5M 50S
87,92,5M 12S
88,92,5M 12S
89,92,4M 49S
90,92,4M 49S
91,92,4M 31S
92,92,4M 31S
92,95,4M 2S
95,95,3M 38S
95,96,2M 41S
95,97,2M 41S
95,100,2M 19S
95,102,1M 42S
95,105,1M 10S
97,105,24S
97,106,19S
97,107,19S
99,107,8S
99,108,6S
99,109,6S
End of 4th quarter,NA,0S
