Atlanta,Miami,time_rem
15-20,17-18,48M 0S
0,2,47M 35S
3,2,47M 10S
5,2,46M 13S
5,4,45M 54S
8,4,45M 34S
8,5,45M 16S
8,6,45M 16S
10,6,45M 3S
12,6,44M 0S
12,9,43M 31S
12,11,43M 4S
15,11,42M 48S
15,12,41M 24S
15,13,41M 24S
15,15,41M 8S
17,15,40M 39S
Jump ball: J. Collins vs. P. Achiuwa (J. Collins gains possession),NA,39M 53S
19,15,39M 39S
21,15,37M 7S
21,17,36M 20S
22,17,36M 4S
23,17,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,17,35M 21S
25,18,33M 43S
25,19,33M 43S
25,21,33M 8S
28,21,32M 39S
28,22,31M 26S
31,22,31M 10S
Jump ball: C. Capela vs. A. Iguodala (J. Collins gains possession),NA,30M 13S
31,25,29M 37S
31,27,29M 6S
33,27,28M 41S
33,29,28M 25S
34,29,28M 6S
34,31,27M 54S
36,31,27M 43S
39,31,27M 21S
39,33,27M 7S
39,34,26M 31S
42,34,26M 18S
42,35,26M 7S
44,35,25M 54S
Jump ball: T. Young vs. K. Olynyk (T. Young gains possession),NA,25M 33S
44,37,24M 42S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
44,38,23M 8S
47,38,22M 53S
47,41,22M 18S
49,41,21M 57S
49,43,21M 36S
49,45,21M 3S
49,48,20M 17S
49,50,19M 49S
51,50,19M 34S
51,51,19M 18S
51,52,19M 18S
53,52,18M 6S
54,52,18M 6S
56,52,17M 36S
56,55,17M 17S
56,58,15M 49S
56,60,15M 5S
57,60,14M 15S
58,60,14M 15S
58,63,14M 2S
60,63,13M 48S
61,63,13M 48S
63,63,13M 5S
63,66,12M 49S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
66,66,11M 30S
66,69,10M 37S
68,69,10M 13S
71,69,9M 36S
73,69,9M 9S
73,71,8M 54S
73,73,7M 28S
75,73,7M 8S
78,73,6M 28S
78,74,6M 7S
81,74,5M 48S
84,74,5M 18S
85,74,4M 41S
86,74,4M 41S
87,74,3M 24S
88,74,3M 24S
88,76,2M 37S
89,76,2M 15S
90,76,2M 15S
92,76,1M 17S
92,77,1M 4S
92,78,1M 4S
92,80,36S
94,80,17S
End of 4th quarter,NA,0S
