Atlanta,New York,time_rem
32-27,33-27,48M 0S
2,0,47M 37S
2,3,47M 13S
4,3,46M 37S
5,3,46M 37S
7,3,46M 14S
7,5,45M 55S
9,5,45M 37S
9,8,45M 13S
11,8,44M 54S
11,11,44M 40S
11,14,43M 39S
13,14,43M 12S
13,16,42M 57S
13,19,42M 52S
16,19,42M 36S
16,21,42M 18S
18,21,42M 3S
20,21,41M 45S
23,21,41M 13S
25,21,40M 33S
27,21,40M 12S
28,21,40M 12S
30,21,39M 42S
31,21,39M 2S
32,21,39M 2S
32,23,38M 44S
32,25,38M 16S
34,25,38M 0S
34,27,37M 40S
37,27,37M 35S
37,30,37M 18S
37,31,36M 55S
37,32,36M 55S
39,32,36M 47S
39,33,36M 32S
39,34,36M 32S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
41,34,35M 24S
41,36,35M 12S
41,38,34M 48S
41,40,33M 32S
44,40,33M 2S
44,42,32M 48S
46,42,32M 32S
46,44,32M 12S
47,44,31M 56S
48,44,31M 56S
48,46,31M 33S
48,48,31M 8S
50,48,30M 24S
50,50,30M 1S
50,52,29M 43S
51,52,29M 35S
52,52,29M 35S
54,52,29M 13S
54,55,29M 3S
54,58,28M 29S
56,58,28M 10S
58,58,27M 33S
60,58,27M 15S
60,61,26M 57S
62,61,26M 43S
62,63,25M 37S
62,66,25M 29S
64,66,25M 7S
64,67,24M 46S
67,67,24M 30S
69,67,24M 4S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,67,23M 29S
72,67,23M 29S
72,69,22M 37S
74,69,21M 49S
75,69,21M 49S
75,70,21M 28S
75,71,21M 28S
78,71,21M 19S
80,71,20M 53S
80,74,20M 36S
82,74,20M 12S
82,76,19M 50S
82,78,19M 31S
85,78,18M 37S
86,78,17M 26S
87,78,17M 26S
87,81,17M 8S
89,81,16M 50S
91,81,16M 10S
91,84,15M 54S
92,84,15M 10S
93,84,15M 10S
95,84,13M 47S
95,85,13M 33S
95,87,13M 30S
95,89,13M 5S
97,89,12M 54S
97,90,12M 46S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,92,11M 22S
100,92,11M 6S
100,94,10M 46S
100,95,10M 21S
100,96,10M 21S
101,96,10M 5S
101,97,9M 53S
101,98,9M 53S
103,98,9M 42S
104,98,9M 42S
104,99,9M 24S
107,99,9M 0S
107,101,8M 48S
109,101,7M 46S
109,104,7M 35S
109,107,7M 1S
109,109,6M 25S
109,110,5M 55S
109,111,5M 55S
109,112,5M 30S
109,113,5M 30S
109,116,4M 46S
111,116,3M 47S
113,116,3M 17S
113,117,2M 59S
113,118,2M 59S
115,118,2M 48S
118,118,2M 11S
118,120,1M 14S
119,120,27S
119,122,8S
122,122,6S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: C. Capela vs. N. Noel (I. Quickley gains possession),NA,5M 0S
122,124,4M 47S
122,127,3M 57S
122,130,3M 16S
122,132,2M 37S
124,132,2M 18S
127,132,1M 35S
127,134,1M 12S
127,137,44S
End of 1st overtime,NA,0S
