Atlanta,New York,time_rem
11-16,14-15,48M 0S
0,0,47M 40S
0,1,47M 40S
0,3,46M 37S
0,5,45M 54S
3,5,45M 38S
3,7,45M 19S
3,10,44M 54S
5,10,44M 41S
5,13,44M 28S
5,16,44M 6S
6,16,43M 49S
7,16,43M 49S
7,18,43M 32S
7,20,43M 9S
9,20,42M 52S
11,20,42M 19S
13,20,42M 2S
13,22,41M 37S
14,22,41M 23S
15,22,41M 23S
16,22,41M 23S
16,24,41M 4S
18,24,40M 7S
18,27,39M 49S
19,27,39M 8S
20,27,39M 8S
20,30,38M 30S
22,30,38M 13S
22,32,37M 54S
24,32,37M 40S
24,34,37M 35S
26,34,37M 22S
26,37,37M 5S
26,38,36M 20S
26,39,36M 20S
28,39,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,42,35M 33S
31,42,34M 53S
32,42,34M 28S
33,42,34M 28S
36,42,33M 46S
36,43,33M 40S
36,44,33M 40S
37,44,33M 21S
38,44,33M 21S
38,45,33M 1S
38,46,33M 1S
38,48,32M 35S
38,49,32M 13S
38,50,32M 13S
41,50,31M 59S
42,50,31M 15S
43,50,31M 15S
43,52,30M 54S
44,52,30M 47S
45,52,30M 47S
48,52,30M 27S
48,54,30M 11S
49,54,29M 35S
51,54,29M 31S
51,57,29M 17S
51,58,28M 49S
51,59,28M 49S
52,59,28M 14S
53,59,28M 14S
54,59,27M 22S
55,59,27M 22S
56,59,27M 22S
56,60,27M 13S
59,60,26M 24S
59,63,26M 3S
60,63,25M 25S
61,63,25M 25S
61,64,25M 14S
61,66,25M 0S
63,66,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
65,66,23M 50S
68,66,22M 55S
70,66,21M 45S
72,66,21M 6S
72,68,20M 24S
73,68,20M 11S
74,68,20M 11S
74,71,19M 56S
76,71,19M 43S
76,74,19M 33S
78,74,19M 17S
79,74,19M 17S
81,74,18M 32S
81,76,18M 8S
81,78,17M 39S
81,79,17M 39S
81,81,16M 59S
83,81,16M 32S
83,83,16M 18S
83,84,15M 42S
83,85,15M 42S
83,87,15M 10S
83,89,14M 37S
85,89,14M 22S
86,89,13M 58S
86,90,13M 40S
86,93,13M 9S
88,93,12M 59S
90,93,12M 23S
90,95,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,98,11M 45S
93,98,11M 27S
93,99,11M 11S
96,99,10M 22S
98,99,9M 39S
98,100,9M 16S
98,101,9M 16S
99,101,8M 39S
100,101,8M 39S
100,104,7M 52S
102,104,7M 11S
102,107,4M 58S
104,107,4M 28S
104,109,4M 12S
107,109,3M 50S
107,112,3M 18S
107,115,2M 23S
109,115,1M 59S
109,117,1M 36S
112,117,1M 19S
112,119,1M 1S
112,121,31S
112,122,22S
112,123,22S
End of 4th quarter,NA,0S
