Atlanta,Oklahoma City,time_rem
14-19,14-19,48M 0S
0,0,47M 48S
2,0,47M 46S
2,2,47M 31S
4,2,47M 12S
6,2,46M 47S
6,3,46M 34S
9,3,45M 28S
9,6,44M 47S
11,6,44M 33S
11,8,44M 21S
13,8,44M 11S
13,10,43M 15S
15,10,42M 56S
17,10,42M 31S
18,10,41M 52S
19,10,41M 52S
19,12,41M 39S
19,14,41M 19S
21,14,41M 1S
23,14,40M 33S
23,16,39M 58S
23,19,39M 26S
25,19,39M 8S
28,19,38M 47S
28,22,38M 34S
28,24,38M 14S
28,26,37M 35S
31,26,36M 52S
31,29,36M 35S
33,29,36M 16S
33,31,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,33,35M 42S
33,35,34M 43S
35,35,34M 32S
37,35,34M 1S
37,37,33M 43S
40,37,33M 28S
40,39,33M 8S
40,40,33M 8S
42,40,32M 11S
43,40,32M 11S
43,43,32M 4S
45,43,31M 48S
45,45,31M 27S
47,45,31M 13S
47,48,30M 58S
47,50,29M 24S
47,52,28M 53S
49,52,28M 20S
49,54,28M 2S
49,57,27M 0S
52,57,26M 39S
54,57,26M 8S
54,59,25M 46S
55,59,25M 19S
55,61,24M 56S
55,63,24M 31S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,66,23M 54S
58,66,23M 36S
58,68,23M 19S
60,68,23M 6S
62,68,22M 44S
65,68,21M 3S
65,71,20M 51S
68,71,20M 31S
68,73,19M 33S
68,75,19M 14S
71,75,18M 52S
71,78,18M 18S
71,79,17M 51S
71,80,17M 51S
71,82,17M 21S
71,84,16M 38S
71,85,16M 15S
73,85,16M 2S
73,88,15M 53S
73,89,15M 31S
74,89,15M 20S
75,89,15M 20S
75,91,14M 0S
76,91,13M 28S
76,92,13M 6S
76,93,13M 6S
77,93,12M 52S
78,93,12M 52S
80,93,12M 5S
80,96,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,96,11M 47S
84,96,10M 58S
84,98,10M 42S
85,98,10M 27S
87,98,9M 12S
87,100,8M 59S
90,100,8M 22S
92,100,7M 51S
92,103,7M 30S
94,103,7M 10S
94,106,6M 57S
97,106,6M 26S
98,106,5M 53S
98,109,5M 6S
100,109,3M 42S
103,109,2M 51S
103,112,2M 28S
103,114,2M 0S
105,114,1M 41S
105,116,1M 25S
107,116,1M 6S
107,117,37S
107,118,37S
109,118,16S
End of 4th quarter,NA,0S
