Boston,Oklahoma City,time_rem
23-23,19-26,48M 0S
0,0,47M 42S
0,3,47M 1S
0,5,45M 30S
0,8,44M 54S
2,8,44M 41S
2,11,44M 18S
2,13,43M 18S
2,14,43M 18S
4,14,43M 3S
5,14,42M 27S
6,14,42M 27S
6,15,42M 9S
6,16,42M 9S
8,16,41M 54S
8,18,41M 1S
10,18,40M 4S
12,18,39M 14S
14,18,38M 21S
14,21,38M 7S
14,23,37M 36S
17,23,36M 55S
17,25,36M 47S
19,25,36M 41S
21,25,36M 7S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,26,35M 16S
21,27,35M 16S
23,27,34M 5S
23,29,33M 49S
25,29,33M 32S
25,31,33M 12S
25,32,33M 12S
27,32,32M 58S
27,34,32M 42S
29,34,32M 25S
29,36,32M 11S
31,36,31M 38S
31,39,30M 38S
34,39,30M 18S
36,39,29M 50S
37,39,29M 50S
37,41,29M 7S
40,41,28M 39S
40,42,28M 28S
42,42,28M 12S
42,43,27M 48S
43,43,27M 34S
43,44,27M 13S
43,45,27M 13S
43,46,26M 45S
44,46,25M 49S
45,46,25M 49S
45,48,25M 28S
45,50,25M 7S
45,52,24M 47S
46,52,24M 24S
47,52,24M 24S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,54,23M 41S
49,54,22M 48S
49,56,22M 37S
49,59,22M 16S
52,59,21M 52S
55,59,21M 0S
55,61,20M 20S
55,63,19M 25S
58,63,19M 12S
58,66,18M 46S
60,66,18M 19S
60,68,18M 2S
62,68,17M 52S
64,68,17M 25S
65,68,17M 25S
65,69,17M 9S
65,70,16M 45S
67,70,16M 33S
67,72,15M 39S
69,72,15M 21S
69,75,15M 11S
71,75,14M 22S
71,78,14M 11S
73,78,13M 22S
76,78,12M 41S
76,80,12M 28S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,80,11M 48S
78,81,11M 34S
78,82,11M 34S
79,82,11M 21S
80,82,10M 54S
82,82,10M 35S
85,82,10M 16S
88,82,9M 44S
90,82,8M 31S
93,82,8M 14S
95,82,6M 59S
97,82,6M 37S
97,84,6M 19S
100,84,5M 58S
100,86,5M 47S
102,86,4M 46S
102,89,4M 29S
104,89,3M 32S
107,89,2M 49S
107,92,1M 59S
109,92,1M 3S
109,94,39S
111,94,27S
End of 4th quarter,NA,0S
