Boston,San Antonio,time_rem
10-7,10-8,48M 0S
0,2,47M 39S
3,2,46M 47S
3,4,46M 24S
5,4,46M 0S
7,4,45M 42S
10,4,45M 8S
11,4,44M 40S
11,5,44M 20S
11,7,43M 48S
12,7,43M 40S
13,7,43M 40S
13,10,43M 22S
15,10,42M 34S
17,10,42M 0S
18,10,42M 0S
18,13,41M 43S
18,14,41M 18S
18,15,41M 18S
20,15,41M 3S
23,15,40M 10S
23,17,39M 47S
26,17,39M 36S
26,19,39M 15S
26,21,38M 23S
26,23,36M 57S
28,23,36M 45S
30,23,36M 8S
30,25,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,27,35M 16S
32,27,35M 5S
35,27,34M 12S
35,29,33M 53S
37,29,33M 5S
37,32,31M 36S
39,32,31M 1S
40,32,30M 29S
41,32,30M 29S
41,34,30M 13S
41,36,29M 51S
43,36,29M 39S
43,38,29M 17S
43,40,28M 22S
43,43,27M 56S
43,46,27M 22S
45,46,26M 59S
45,48,26M 41S
47,48,26M 19S
47,50,26M 8S
47,53,25M 36S
47,55,25M 1S
47,57,24M 21S
47,59,24M 2S
47,61,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
49,61,23M 48S
51,61,23M 17S
51,63,22M 49S
51,65,22M 25S
53,65,22M 7S
53,67,21M 50S
55,67,21M 32S
55,69,21M 8S
58,69,20M 59S
58,71,20M 14S
59,71,20M 9S
60,71,20M 9S
60,73,19M 54S
62,73,19M 42S
62,75,19M 26S
62,77,19M 5S
64,77,18M 46S
65,77,18M 46S
67,77,18M 14S
67,78,17M 24S
69,78,17M 12S
71,78,16M 45S
71,81,16M 23S
74,81,16M 9S
76,81,15M 33S
78,81,14M 53S
80,81,14M 11S
83,81,12M 57S
83,82,12M 48S
84,82,12M 18S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,82,11M 6S
86,85,10M 48S
86,87,9M 36S
86,89,8M 38S
86,91,7M 45S
86,93,7M 16S
89,93,6M 59S
89,95,6M 42S
91,95,6M 24S
91,97,6M 1S
93,97,5M 51S
94,97,5M 51S
96,97,4M 3S
96,99,3M 18S
99,99,3M 1S
101,99,2M 11S
101,101,1M 25S
101,102,56S
101,103,56S
103,103,40S
103,105,27S
103,107,16S
105,107,12S
106,107,12S
106,108,8S
106,109,8S
106,110,0S
End of 4th quarter,NA,0S
