Brooklyn,Atlanta,time_rem
12-8,9-9,48M 0S
0,2,47M 40S
0,5,46M 38S
2,5,46M 22S
2,7,45M 57S
5,7,45M 18S
7,7,44M 55S
7,9,44M 34S
8,9,44M 21S
9,9,44M 21S
11,9,43M 46S
11,11,43M 36S
11,13,42M 4S
13,13,41M 52S
15,13,41M 25S
15,15,41M 7S
17,15,40M 43S
17,18,40M 19S
19,18,39M 17S
19,19,38M 54S
19,20,38M 54S
22,20,38M 17S
22,21,37M 41S
24,21,37M 29S
24,22,37M 14S
24,23,37M 14S
26,23,37M 3S
26,25,36M 48S
26,26,36M 23S
26,27,36M 23S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,30,35M 23S
29,30,35M 10S
29,32,34M 43S
31,32,34M 33S
31,34,34M 13S
34,34,33M 55S
36,34,33M 23S
39,34,32M 58S
39,35,32M 2S
39,36,32M 2S
39,37,32M 2S
40,37,31M 18S
41,37,31M 18S
41,38,31M 3S
41,39,31M 3S
43,39,30M 40S
43,42,29M 40S
43,44,28M 24S
43,47,27M 59S
43,49,27M 22S
46,49,27M 9S
46,51,26M 46S
47,51,26M 33S
47,52,26M 23S
47,53,26M 23S
49,53,26M 10S
51,53,25M 44S
51,55,25M 36S
53,55,24M 40S
55,55,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,57,23M 36S
56,57,23M 24S
56,58,23M 14S
56,59,23M 14S
56,62,22M 51S
58,62,22M 37S
60,62,21M 46S
60,65,21M 33S
62,65,20M 49S
65,65,20M 29S
65,68,20M 14S
65,70,19M 28S
67,70,19M 13S
67,72,18M 13S
69,72,17M 57S
69,74,17M 39S
71,74,17M 26S
73,74,17M 6S
73,75,16M 48S
73,76,16M 48S
75,76,16M 38S
77,76,16M 21S
77,79,15M 57S
77,80,15M 40S
77,81,15M 40S
77,83,15M 5S
78,83,14M 55S
79,83,14M 55S
79,84,14M 20S
79,85,14M 20S
81,85,13M 18S
81,87,12M 54S
83,87,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,90,11M 23S
86,90,11M 12S
87,90,10M 51S
88,90,10M 51S
89,90,10M 7S
90,90,10M 7S
92,90,9M 30S
92,93,9M 15S
94,93,9M 4S
94,95,8M 46S
96,95,8M 15S
99,95,7M 56S
99,97,7M 37S
101,97,7M 17S
101,99,6M 58S
101,102,6M 9S
101,104,5M 25S
103,104,5M 10S
103,106,4M 46S
106,106,4M 31S
106,109,4M 8S
108,109,3M 46S
108,111,3M 25S
110,111,3M 12S
111,111,2M 41S
112,111,2M 41S
112,113,2M 25S
112,114,2M 25S
114,114,2M 0S
116,114,56S
116,116,28S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
118,116,4M 37S
120,116,4M 16S
120,118,3M 55S
122,118,3M 36S
122,120,3M 23S
122,121,3M 23S
125,121,3M 5S
127,121,2M 46S
127,123,2M 1S
129,123,1M 25S
129,125,1M 18S
129,126,48S
130,126,4S
131,126,4S
131,128,3S
132,128,2S
End of 1st overtime,NA,0S
