Brooklyn,Cleveland,time_rem
9-8,8-7,48M 0S
0,0,47M 45S
3,0,47M 17S
3,2,46M 58S
6,2,46M 26S
6,4,46M 4S
9,4,45M 36S
9,6,45M 21S
9,7,44M 59S
9,8,44M 59S
12,8,44M 42S
13,8,44M 42S
13,10,44M 32S
15,10,43M 44S
15,13,43M 30S
15,15,43M 3S
16,15,42M 40S
17,15,42M 40S
19,15,42M 3S
19,17,41M 48S
19,18,41M 48S
19,20,41M 17S
22,20,40M 52S
22,22,40M 37S
22,23,40M 21S
22,24,40M 21S
22,25,40M 3S
24,25,39M 43S
24,27,39M 33S
26,27,39M 25S
26,28,39M 11S
26,29,39M 11S
29,29,38M 53S
29,32,38M 21S
30,32,38M 11S
30,33,37M 48S
30,34,37M 48S
33,34,37M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,34,34M 58S
38,34,34M 27S
38,37,34M 8S
38,39,33M 39S
38,41,33M 14S
38,43,32M 40S
41,43,32M 16S
41,44,31M 59S
41,47,31M 41S
43,47,31M 20S
43,50,30M 57S
45,50,30M 24S
45,52,29M 37S
47,52,29M 21S
47,55,28M 30S
50,55,27M 52S
50,57,27M 34S
52,57,27M 19S
54,57,26M 41S
54,59,26M 26S
54,61,25M 54S
56,61,25M 17S
58,61,24M 44S
60,61,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
62,61,22M 23S
64,61,21M 52S
64,63,21M 30S
64,65,21M 12S
64,67,20M 43S
67,67,20M 12S
67,69,20M 0S
70,69,19M 47S
70,71,19M 29S
70,73,19M 12S
70,74,18M 51S
70,76,18M 38S
70,77,18M 38S
72,77,18M 12S
72,79,17M 49S
72,80,17M 39S
72,82,17M 10S
72,83,17M 10S
75,83,16M 49S
75,84,16M 31S
75,85,16M 31S
75,86,16M 6S
75,87,16M 6S
75,89,15M 48S
76,89,15M 27S
77,89,15M 27S
77,91,15M 5S
79,91,14M 51S
81,91,14M 31S
84,91,13M 53S
84,93,13M 31S
84,96,13M 1S
84,98,12M 41S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,98,11M 47S
86,98,11M 47S
86,100,11M 29S
88,100,9M 31S
88,102,9M 17S
88,103,8M 24S
90,103,8M 14S
91,103,8M 14S
93,103,7M 22S
93,104,6M 56S
93,105,6M 56S
95,105,6M 44S
95,107,6M 29S
97,107,6M 19S
97,109,5M 50S
99,109,5M 35S
99,110,5M 20S
99,111,5M 20S
100,111,4M 37S
101,111,4M 37S
101,113,4M 16S
102,113,4M 9S
102,115,3M 30S
102,116,2M 56S
104,116,2M 47S
104,117,2M 36S
104,118,2M 36S
104,120,2M 0S
106,120,1M 56S
106,122,1M 23S
108,122,1M 14S
109,122,1M 14S
110,122,50S
111,122,50S
111,125,43S
113,125,30S
End of 4th quarter,NA,0S
