Brooklyn,Milwaukee,time_rem
2-1,1-2,48M 0S
0,0,47M 44S
0,2,47M 14S
0,4,46M 38S
0,5,45M 41S
0,7,45M 18S
0,9,44M 25S
2,9,44M 7S
2,11,43M 26S
4,11,43M 12S
4,13,42M 17S
4,16,41M 41S
7,16,41M 20S
7,17,41M 4S
7,18,41M 4S
7,20,40M 30S
9,20,40M 18S
9,22,39M 55S
9,25,38M 40S
9,28,38M 21S
9,30,37M 30S
11,30,36M 35S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
13,30,35M 45S
15,30,35M 17S
18,30,34M 48S
18,32,33M 31S
20,32,33M 12S
22,32,32M 49S
24,32,32M 14S
26,32,31M 43S
26,33,31M 29S
28,33,31M 11S
30,33,30M 22S
Jump ball: P. Tucker vs. N. Claxton (P. Tucker gains possession),NA,29M 54S
Jump ball: K. Irving vs. K. Middleton (K. Durant gains possession),NA,28M 48S
31,33,28M 25S
31,35,28M 8S
33,35,27M 52S
33,37,27M 36S
35,37,27M 19S
35,39,27M 3S
37,39,26M 39S
37,42,26M 21S
37,44,25M 57S
38,44,25M 48S
39,44,25M 48S
42,44,24M 50S
42,45,24M 36S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,47,23M 34S
44,47,22M 57S
44,49,22M 40S
45,49,22M 9S
46,49,22M 9S
46,51,21M 49S
48,51,21M 39S
48,53,20M 55S
51,53,20M 26S
51,55,19M 26S
54,55,19M 6S
54,57,17M 41S
57,57,17M 2S
57,60,16M 43S
59,60,16M 15S
59,62,15M 58S
61,62,15M 16S
61,64,14M 33S
62,64,13M 33S
63,64,13M 33S
65,64,13M 5S
65,65,12M 46S
65,66,12M 46S
65,67,12M 46S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
65,69,11M 44S
68,69,11M 33S
70,69,10M 56S
70,70,10M 42S
70,71,10M 42S
70,74,9M 57S
72,74,7M 42S
74,74,7M 21S
74,76,7M 2S
76,76,6M 9S
Jump ball: G. Antetokounmpo vs. B. Griffin (B. Lopez gains possession),NA,5M 16S
76,78,2M 40S
78,78,2M 25S
78,80,2M 7S
80,80,1M 55S
83,80,1M 23S
83,82,1M 17S
83,84,11S
83,85,2S
83,86,2S
End of 4th quarter,NA,0S
