Brooklyn,Sacramento,time_rem
17-12,12-15,48M 0S
3,0,47M 45S
6,0,47M 18S
6,2,46M 51S
8,2,46M 39S
8,4,46M 24S
9,4,46M 10S
10,4,46M 10S
10,6,45M 54S
10,8,44M 56S
13,8,44M 43S
13,10,44M 25S
13,12,43M 59S
13,15,43M 18S
15,15,43M 3S
15,16,42M 56S
15,17,42M 56S
Jump ball: B. Brown vs. B. Hield (K. Irving gains possession),NA,42M 45S
17,17,42M 27S
18,17,42M 14S
18,19,41M 55S
18,21,41M 40S
21,21,40M 57S
24,21,40M 42S
24,23,40M 25S
26,23,40M 9S
26,26,39M 55S
28,26,39M 31S
28,29,39M 20S
30,29,38M 56S
30,31,38M 41S
30,33,38M 15S
33,33,37M 22S
33,34,36M 50S
33,35,36M 50S
33,37,36M 26S
36,37,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,39,35M 19S
38,39,35M 2S
38,41,34M 43S
41,41,34M 15S
42,41,34M 15S
42,43,33M 54S
44,43,33M 41S
46,43,32M 8S
46,46,31M 33S
48,46,31M 12S
50,46,30M 45S
50,49,30M 35S
53,49,30M 16S
55,49,29M 41S
58,49,29M 27S
58,52,29M 3S
61,52,28M 28S
64,52,27M 55S
64,54,27M 44S
64,55,27M 44S
64,57,26M 59S
64,60,26M 21S
66,60,25M 47S
66,63,25M 16S
68,63,25M 2S
68,64,24M 46S
68,65,24M 46S
68,66,24M 46S
71,66,24M 32S
71,68,24M 26S
74,68,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
74,70,23M 16S
76,70,21M 58S
76,72,21M 41S
79,72,21M 30S
79,73,20M 59S
79,74,20M 59S
82,74,20M 38S
82,76,20M 24S
82,77,19M 40S
82,80,19M 20S
84,80,18M 34S
86,80,17M 52S
89,80,17M 13S
92,80,16M 38S
94,80,16M 15S
96,80,15M 56S
99,80,15M 33S
102,80,14M 44S
102,82,14M 24S
102,84,13M 53S
105,84,13M 42S
105,86,13M 18S
107,86,12M 35S
107,88,12M 22S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
110,88,11M 42S
112,88,11M 7S
112,90,10M 49S
113,90,10M 33S
114,90,10M 33S
114,92,10M 16S
114,94,10M 6S
117,94,9M 53S
119,94,9M 28S
119,96,8M 51S
122,96,8M 6S
122,98,7M 5S
125,98,6M 42S
125,100,6M 26S
128,100,6M 2S
128,102,5M 41S
128,104,5M 15S
128,107,4M 49S
128,110,4M 20S
128,113,3M 47S
129,113,3M 28S
129,115,3M 7S
129,117,2M 31S
132,117,2M 14S
132,119,1M 27S
132,121,1M 0S
134,121,44S
134,123,32S
136,123,27S
136,125,15S
End of 4th quarter,NA,0S
