Charlotte,Brooklyn,time_rem
24-23,34-15,48M 0S
0,0,47M 39S
1,0,47M 21S
2,0,47M 21S
2,2,47M 1S
2,5,46M 12S
4,5,45M 11S
4,8,44M 44S
4,11,44M 5S
4,12,43M 31S
4,13,43M 31S
6,13,43M 13S
6,15,42M 0S
6,17,40M 45S
9,17,40M 36S
9,19,40M 14S
9,21,39M 23S
9,24,39M 0S
9,27,38M 13S
11,27,37M 48S
11,30,37M 39S
11,32,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
11,35,35M 35S
13,35,34M 52S
13,37,33M 27S
14,37,33M 15S
15,37,33M 15S
16,37,33M 15S
16,40,32M 55S
16,42,32M 26S
18,42,32M 13S
18,45,32M 1S
18,47,31M 13S
21,47,30M 24S
21,49,29M 59S
24,49,29M 47S
24,52,29M 28S
26,52,29M 14S
26,54,29M 2S
29,54,28M 38S
32,54,27M 58S
32,56,27M 37S
34,56,27M 17S
34,59,26M 53S
36,59,26M 36S
36,61,26M 6S
37,61,26M 0S
38,61,26M 0S
40,61,25M 36S
40,64,25M 28S
43,64,25M 13S
43,65,24M 59S
44,65,24M 46S
45,65,24M 46S
45,68,24M 29S
47,68,24M 10S
48,68,24M 10S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,71,23M 11S
50,71,22M 53S
50,73,22M 6S
50,75,21M 16S
50,77,20M 13S
50,80,19M 31S
52,80,19M 19S
52,82,18M 45S
52,84,17M 45S
55,84,17M 30S
56,84,16M 42S
56,87,16M 21S
59,87,16M 3S
60,87,14M 32S
60,89,14M 7S
60,92,13M 19S
62,92,12M 44S
65,92,12M 14S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
67,92,11M 14S
Jump ball: N. Claxton vs. M. Bridges (L. Shamet gains possession),NA,10M 53S
70,92,10M 38S
72,92,10M 22S
75,92,10M 11S
75,94,9M 35S
75,97,8M 59S
76,97,8M 31S
77,97,8M 31S
80,97,8M 15S
80,100,7M 43S
82,100,5M 53S
82,103,4M 26S
82,105,3M 39S
84,105,3M 29S
84,107,2M 44S
87,107,2M 27S
87,109,1M 47S
88,109,1M 37S
89,109,1M 37S
89,111,1M 27S
End of 4th quarter,NA,0S
