Charlotte,Indiana,time_rem
NA,NA,48M 0S
0,0,47M 43S
0,3,47M 25S
3,3,47M 15S
3,4,47M 5S
3,6,46M 33S
3,9,46M 13S
3,11,45M 40S
5,11,45M 17S
5,14,45M 4S
7,14,44M 40S
7,17,44M 18S
7,20,43M 45S
9,20,43M 24S
9,23,43M 8S
12,23,42M 57S
12,25,42M 25S
14,25,42M 11S
14,28,40M 43S
16,28,40M 34S
16,30,40M 22S
18,30,39M 39S
18,31,39M 27S
18,32,39M 27S
18,34,38M 32S
19,34,38M 16S
20,34,38M 16S
20,36,37M 39S
23,36,37M 12S
24,36,36M 51S
24,38,36M 13S
24,40,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,42,35M 46S
24,45,34M 57S
26,45,34M 39S
28,45,33M 57S
30,45,33M 32S
30,47,32M 57S
30,49,32M 35S
32,49,31M 28S
32,50,31M 11S
32,51,30M 20S
32,52,30M 20S
34,52,29M 40S
37,52,28M 46S
37,54,28M 34S
37,55,28M 34S
39,55,27M 43S
39,57,27M 35S
41,57,26M 28S
41,59,26M 16S
41,61,25M 44S
41,64,25M 13S
42,64,24M 56S
43,64,24M 56S
43,66,24M 39S
45,66,24M 28S
45,69,24M 8S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
45,71,23M 42S
45,74,23M 15S
45,76,22M 47S
47,76,22M 37S
48,76,22M 13S
49,76,22M 13S
51,76,21M 37S
51,78,21M 20S
53,78,20M 49S
53,80,20M 27S
53,82,19M 30S
55,82,18M 36S
56,82,18M 36S
56,84,17M 27S
58,84,17M 20S
60,84,17M 4S
60,86,16M 46S
60,89,16M 25S
60,90,16M 24S
62,90,16M 14S
63,90,16M 14S
63,92,15M 54S
65,92,15M 39S
66,92,15M 39S
66,94,15M 26S
69,94,15M 10S
69,96,14M 55S
70,96,14M 40S
73,96,14M 21S
73,99,14M 5S
73,102,13M 40S
75,102,12M 59S
75,104,12M 47S
78,104,12M 39S
78,106,12M 31S
78,108,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,110,11M 18S
81,110,10M 58S
82,110,10M 43S
83,110,10M 43S
86,110,10M 23S
86,112,9M 54S
86,114,9M 31S
86,116,9M 11S
86,117,8M 48S
87,117,8M 38S
87,119,8M 21S
89,119,8M 9S
91,119,7M 51S
91,121,7M 43S
91,122,7M 43S
91,124,7M 26S
93,124,7M 15S
93,126,7M 2S
95,126,5M 57S
95,127,5M 45S
95,128,5M 45S
95,130,5M 18S
98,130,5M 4S
98,132,4M 47S
100,132,4M 34S
100,134,4M 20S
100,136,4M 6S
100,139,3M 49S
103,139,3M 35S
105,139,3M 14S
105,141,3M 0S
106,141,2M 51S
106,144,2M 34S
109,144,2M 22S
110,144,1M 51S
111,144,1M 51S
112,144,1M 22S
114,144,27S
115,144,27S
117,144,24S
End of 4th quarter,NA,0S
