Chicago,Brooklyn,time_rem
30-41,47-24,48M 0S
2,0,47M 43S
5,0,47M 13S
7,0,46M 36S
9,0,45M 58S
12,0,45M 49S
12,2,45M 23S
12,5,44M 55S
14,5,44M 28S
14,8,43M 21S
16,8,42M 43S
16,9,42M 30S
16,10,42M 30S
18,10,41M 49S
19,10,41M 30S
19,13,41M 8S
19,15,40M 42S
22,15,40M 21S
24,15,39M 20S
24,17,39M 0S
24,19,38M 46S
27,19,38M 36S
27,22,38M 25S
29,22,37M 59S
29,24,37M 49S
29,25,36M 41S
29,28,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,30,34M 57S
32,30,34M 46S
32,33,34M 33S
35,33,34M 11S
35,34,33M 52S
37,34,33M 30S
37,37,33M 13S
39,37,32M 55S
39,40,32M 16S
40,40,31M 58S
41,40,31M 58S
41,42,30M 51S
41,44,29M 57S
41,46,29M 6S
42,46,28M 52S
43,46,28M 52S
45,46,27M 46S
45,48,27M 18S
45,49,26M 56S
45,50,26M 56S
45,52,26M 32S
48,52,26M 23S
48,54,26M 1S
48,55,26M 1S
48,57,25M 30S
49,57,25M 8S
49,59,24M 56S
49,61,24M 23S
51,61,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,63,23M 34S
54,63,22M 18S
55,63,21M 55S
56,63,21M 55S
58,63,21M 43S
58,65,20M 29S
58,66,20M 29S
58,68,19M 33S
61,68,19M 7S
63,68,18M 31S
63,71,17M 11S
63,73,16M 44S
63,75,16M 2S
65,75,15M 46S
67,75,15M 16S
69,75,14M 2S
69,77,13M 25S
69,79,12M 54S
71,79,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
71,82,11M 28S
71,85,10M 38S
74,85,10M 13S
76,85,9M 47S
79,85,9M 19S
81,85,8M 47S
81,88,8M 34S
81,90,8M 1S
83,90,7M 45S
83,93,7M 28S
83,95,6M 44S
83,97,6M 2S
83,100,5M 27S
85,100,4M 11S
85,101,3M 55S
85,103,2M 56S
85,105,2M 30S
87,105,2M 5S
88,105,1M 38S
89,105,1M 1S
90,105,1M 1S
91,105,28S
End of 4th quarter,NA,0S
