Chicago,Detroit,time_rem
29-39,20-49,48M 0S
0,2,47M 38S
2,2,47M 17S
4,2,46M 57S
6,2,46M 21S
6,3,45M 42S
8,3,45M 3S
9,3,44M 5S
9,6,43M 50S
11,6,43M 27S
13,6,42M 58S
13,8,42M 46S
15,8,42M 2S
18,8,41M 36S
18,10,41M 12S
18,13,40M 49S
20,13,40M 28S
20,16,39M 44S
22,16,38M 18S
25,16,37M 25S
25,18,37M 0S
28,18,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,18,35M 16S
31,18,34M 48S
32,18,34M 48S
32,19,34M 24S
34,19,34M 17S
35,19,34M 17S
37,19,33M 59S
37,21,32M 57S
37,22,32M 23S
40,22,32M 9S
40,24,31M 53S
42,24,31M 39S
42,26,31M 30S
44,26,30M 17S
44,28,30M 0S
46,28,29M 42S
46,31,29M 19S
48,31,29M 2S
48,34,28M 42S
50,34,28M 27S
50,36,28M 5S
52,36,26M 50S
55,36,26M 11S
57,36,24M 55S
57,39,24M 18S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,39,22M 59S
60,41,22M 19S
60,43,21M 58S
62,43,21M 0S
62,45,20M 48S
62,46,20M 48S
64,46,20M 29S
64,48,20M 8S
64,50,19M 32S
65,50,18M 50S
66,50,18M 50S
69,50,18M 13S
69,51,17M 58S
71,51,17M 43S
71,53,16M 46S
73,53,16M 32S
73,56,16M 13S
76,56,16M 1S
76,58,15M 44S
76,59,15M 27S
76,60,15M 27S
79,60,15M 7S
79,61,14M 2S
79,62,14M 2S
79,64,13M 28S
80,64,13M 15S
80,66,13M 0S
80,68,12M 37S
81,68,12M 11S
82,68,12M 11S
83,68,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
85,68,11M 17S
Jump ball: J. Okafor vs. G. Temple (K. Hayes gains possession),NA,11M 1S
85,70,10M 54S
87,70,10M 33S
89,70,10M 0S
89,73,9M 13S
92,73,8M 26S
92,75,8M 10S
92,78,7M 3S
95,78,6M 12S
97,78,5M 35S
97,81,5M 11S
97,82,4M 5S
100,82,3M 53S
100,85,3M 33S
102,85,3M 18S
102,87,3M 1S
102,88,3M 1S
104,88,2M 37S
104,90,2M 15S
104,92,1M 41S
104,94,1M 9S
106,94,43S
108,94,22S
108,95,8S
108,96,8S
End of 4th quarter,NA,0S
