Cleveland,Miami,time_rem
17-32,26-24,48M 0S
3,0,47M 43S
5,0,47M 17S
5,2,46M 56S
5,5,46M 15S
5,7,45M 17S
5,10,44M 52S
6,10,44M 40S
7,10,44M 40S
7,13,44M 28S
9,13,44M 3S
11,13,43M 25S
11,15,43M 5S
11,18,42M 28S
13,18,41M 58S
13,21,41M 42S
14,21,41M 22S
14,23,41M 10S
14,26,40M 43S
14,28,39M 53S
16,28,39M 33S
18,28,39M 0S
19,28,39M 0S
19,30,38M 37S
21,30,38M 18S
24,30,37M 30S
24,31,37M 18S
24,34,36M 52S
27,34,36M 31S
27,36,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,36,35M 43S
29,38,35M 27S
31,38,35M 8S
33,38,34M 36S
33,39,34M 25S
33,40,34M 25S
35,40,34M 3S
35,42,33M 46S
37,42,33M 39S
39,42,33M 0S
39,45,32M 44S
39,47,32M 2S
39,50,31M 24S
42,50,31M 7S
45,50,30M 38S
45,52,30M 26S
45,54,29M 55S
45,56,28M 54S
45,57,28M 54S
48,57,28M 36S
48,59,28M 16S
48,60,27M 39S
48,61,27M 39S
48,62,27M 21S
50,62,27M 12S
50,65,26M 48S
52,65,24M 49S
54,65,24M 19S
54,67,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,70,23M 44S
56,70,22M 56S
59,70,21M 21S
59,72,21M 5S
60,72,19M 50S
61,72,19M 50S
61,73,19M 27S
61,74,19M 27S
63,74,19M 4S
63,75,17M 55S
66,75,16M 56S
67,75,16M 22S
68,75,16M 22S
70,75,16M 5S
70,77,15M 38S
70,80,15M 11S
72,80,14M 53S
72,82,14M 39S
72,84,13M 11S
73,84,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,84,11M 44S
76,87,11M 17S
77,87,11M 10S
78,87,11M 10S
78,89,10M 53S
78,91,9M 8S
78,93,7M 11S
80,93,6M 53S
80,95,6M 40S
81,95,6M 21S
82,95,6M 21S
82,98,6M 9S
84,98,5M 57S
85,98,5M 30S
86,98,5M 30S
86,99,5M 6S
86,100,5M 6S
87,100,4M 52S
88,100,4M 52S
88,103,4M 26S
88,105,4M 0S
91,105,3M 43S
91,107,3M 17S
91,109,2M 54S
92,109,2M 43S
93,109,2M 43S
93,111,2M 25S
95,111,2M 4S
95,113,1M 35S
96,113,1M 25S
97,113,1M 25S
99,113,54S
99,115,34S
101,115,18S
End of 4th quarter,NA,0S
