Cleveland,New Orleans,time_rem
14-23,16-22,48M 0S
0,0,47M 48S
0,2,46M 47S
3,2,46M 34S
3,3,46M 27S
3,4,46M 27S
6,4,45M 46S
6,7,45M 35S
8,7,45M 10S
8,9,45M 1S
10,9,44M 45S
10,11,44M 33S
12,11,43M 48S
12,14,43M 43S
12,16,42M 31S
14,16,41M 47S
14,19,41M 32S
16,19,41M 15S
16,21,41M 4S
17,21,40M 56S
18,21,40M 56S
19,21,40M 32S
20,21,40M 32S
20,22,40M 16S
20,23,40M 16S
22,23,39M 47S
22,25,39M 36S
22,27,39M 1S
24,27,38M 54S
24,28,38M 41S
24,29,38M 41S
25,29,38M 29S
27,29,37M 52S
29,29,37M 15S
29,31,36M 35S
29,32,36M 35S
29,34,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,36,35M 28S
30,36,35M 16S
31,36,35M 16S
31,37,35M 7S
31,38,35M 7S
33,38,34M 53S
34,38,34M 53S
34,40,34M 41S
34,42,33M 55S
34,44,33M 3S
34,45,33M 3S
36,45,32M 49S
36,47,32M 25S
38,47,32M 14S
39,47,32M 14S
41,47,31M 58S
41,49,31M 9S
41,51,29M 50S
41,52,29M 26S
Jump ball: S. Adams vs. J. Allen (B. Ingram gains possession),NA,29M 21S
41,54,29M 10S
41,56,28M 35S
43,56,28M 14S
45,56,27M 54S
45,58,27M 30S
47,58,27M 11S
47,61,26M 52S
48,61,26M 35S
48,62,26M 25S
48,63,26M 25S
48,65,25M 36S
48,67,24M 52S
48,69,24M 22S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,71,22M 31S
48,73,21M 39S
51,73,21M 20S
51,75,20M 59S
51,77,20M 37S
51,79,19M 58S
52,79,18M 45S
53,79,18M 45S
53,81,18M 28S
Jump ball: E. Bledsoe vs. J. Allen (L. Ball gains possession),NA,17M 54S
53,83,17M 50S
54,83,17M 20S
55,83,17M 20S
55,85,16M 49S
55,87,15M 43S
55,89,15M 9S
55,91,14M 42S
55,93,12M 11S
57,93,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
58,93,11M 18S
58,94,10M 58S
58,95,10M 58S
60,95,9M 17S
60,97,8M 50S
60,100,7M 47S
62,100,7M 5S
62,102,6M 48S
64,102,6M 4S
64,104,5M 48S
66,104,5M 23S
66,106,5M 12S
69,106,4M 48S
71,106,3M 56S
71,108,3M 35S
74,108,3M 10S
74,110,2M 54S
77,110,2M 44S
77,111,1M 25S
79,111,1M 6S
79,113,48S
82,113,31S
82,116,16S
End of 4th quarter,NA,0S
