Cleveland,San Antonio,time_rem
18-32,24-24,48M 0S
0,0,47M 39S
0,2,46M 49S
0,4,46M 25S
0,5,46M 25S
3,5,45M 45S
3,7,45M 6S
5,7,44M 49S
6,7,44M 49S
9,7,44M 20S
9,9,43M 58S
9,11,43M 40S
9,12,42M 53S
9,13,42M 53S
9,15,42M 2S
9,16,41M 43S
9,17,41M 43S
11,17,41M 36S
11,19,41M 7S
Jump ball: I. Okoro vs. P. Mills (T. Prince gains possession),NA,40M 39S
12,19,40M 29S
15,19,39M 17S
15,21,38M 58S
17,21,38M 43S
17,23,38M 32S
19,23,38M 13S
22,23,37M 38S
24,23,37M 7S
26,23,36M 25S
26,26,36M 7S
27,26,36M 0S
28,26,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,29,35M 25S
28,30,35M 4S
28,31,35M 4S
31,31,34M 49S
33,31,34M 13S
33,33,33M 58S
35,33,33M 18S
37,33,32M 53S
39,33,32M 4S
39,35,31M 44S
41,35,30M 59S
42,35,30M 39S
43,35,30M 39S
45,35,29M 26S
45,37,28M 7S
47,37,27M 52S
47,39,26M 54S
47,40,26M 54S
49,40,26M 37S
49,42,26M 25S
51,42,26M 13S
51,43,26M 5S
51,44,26M 5S
52,44,25M 46S
53,44,25M 46S
55,44,25M 20S
57,44,24M 50S
57,47,24M 40S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,49,23M 44S
59,49,23M 27S
60,49,23M 27S
62,49,22M 51S
62,51,22M 13S
62,52,22M 13S
64,52,22M 8S
66,52,21M 40S
66,54,21M 31S
69,54,21M 20S
69,55,21M 1S
69,56,21M 1S
70,56,20M 40S
70,58,20M 24S
72,58,20M 4S
72,60,19M 48S
74,60,19M 20S
74,61,19M 3S
74,62,19M 3S
77,62,18M 53S
77,64,18M 36S
80,64,18M 9S
80,66,17M 49S
82,66,17M 26S
83,66,17M 26S
83,69,17M 12S
86,69,16M 44S
86,70,16M 28S
87,70,15M 51S
88,70,15M 51S
88,71,15M 16S
90,71,15M 5S
90,73,14M 47S
91,73,14M 37S
92,73,14M 37S
94,73,14M 0S
94,74,13M 43S
94,75,13M 43S
94,76,13M 9S
94,77,13M 9S
95,77,12M 58S
96,77,12M 58S
97,77,12M 41S
98,77,12M 41S
98,80,12M 30S
100,80,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
101,80,11M 50S
103,80,11M 26S
103,82,11M 6S
103,83,10M 42S
105,83,9M 51S
107,83,8M 54S
107,85,8M 24S
110,85,7M 57S
111,85,6M 32S
111,87,6M 16S
114,87,5M 56S
116,87,5M 28S
119,87,5M 13S
119,88,4M 58S
119,90,4M 23S
119,91,3M 34S
119,92,3M 34S
121,92,3M 14S
121,94,2M 59S
121,95,2M 59S
121,97,2M 22S
123,97,1M 58S
123,99,1M 44S
124,99,1M 36S
125,99,1M 36S
125,101,1M 19S
End of 4th quarter,NA,0S
