Dallas,Brooklyn,time_rem
16-16,22-13,48M 0S
2,0,47M 43S
2,1,46M 47S
2,2,46M 47S
4,2,46M 7S
4,5,45M 55S
7,5,45M 40S
7,7,45M 18S
7,8,45M 18S
9,8,45M 0S
12,8,44M 23S
12,9,44M 1S
12,10,44M 1S
14,10,43M 54S
15,10,43M 54S
18,10,43M 44S
19,10,43M 44S
20,10,43M 19S
21,10,43M 19S
21,11,42M 33S
21,13,42M 8S
21,16,41M 15S
21,18,40M 40S
21,20,40M 5S
24,20,39M 50S
24,23,39M 29S
24,24,39M 29S
27,24,39M 15S
30,24,38M 33S
32,24,38M 6S
34,24,37M 15S
34,26,36M 50S
36,26,36M 30S
38,26,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
40,26,35M 28S
40,29,35M 16S
40,32,34M 52S
41,32,34M 41S
41,35,34M 26S
43,35,33M 35S
46,35,33M 17S
46,37,33M 4S
49,37,32M 43S
49,39,32M 30S
49,42,32M 6S
49,44,31M 29S
49,45,31M 29S
51,45,30M 20S
54,45,29M 54S
54,47,29M 39S
54,50,29M 5S
57,50,28M 52S
58,50,28M 22S
59,50,28M 22S
60,50,28M 22S
60,52,28M 7S
62,52,27M 48S
62,55,27M 36S
62,58,26M 50S
62,59,26M 31S
62,60,26M 31S
64,60,25M 47S
66,60,25M 17S
66,62,24M 56S
68,62,24M 36S
68,64,24M 26S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,66,23M 45S
70,66,23M 30S
70,68,23M 15S
72,68,22M 57S
72,70,22M 8S
74,70,21M 55S
74,72,21M 37S
76,72,21M 19S
79,72,20M 27S
81,72,19M 32S
81,74,19M 10S
82,74,18M 20S
84,74,17M 16S
85,74,17M 16S
85,76,16M 54S
87,76,16M 43S
89,76,15M 41S
91,76,15M 17S
91,79,15M 7S
91,80,13M 34S
93,80,13M 10S
94,80,13M 10S
94,81,12M 46S
94,82,12M 46S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
94,84,10M 48S
97,84,9M 57S
99,84,9M 35S
101,84,8M 40S
104,84,8M 3S
106,84,7M 37S
106,86,6M 43S
108,86,5M 46S
108,89,5M 38S
108,92,4M 33S
110,92,4M 2S
110,95,3M 31S
113,95,3M 15S
115,95,2M 57S
115,97,1M 13S
115,98,45S
End of 4th quarter,NA,0S
