Dallas,Houston,time_rem
28-22,14-37,48M 0S
0,0,47M 35S
2,0,47M 8S
2,3,46M 53S
2,5,46M 27S
2,7,46M 0S
2,10,45M 25S
2,11,44M 57S
2,12,44M 57S
5,12,44M 22S
7,12,43M 22S
7,15,43M 5S
9,15,42M 36S
10,15,41M 56S
10,17,41M 35S
12,17,41M 24S
12,19,40M 44S
14,19,40M 23S
Jump ball: C. Wood vs. K. Porziņģis (D. Augustin gains possession),NA,39M 32S
17,19,38M 26S
20,19,38M 4S
20,22,36M 59S
20,24,36M 31S
22,24,36M 10S
23,24,36M 10S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,24,35M 24S
27,24,34M 54S
27,27,34M 35S
30,27,33M 27S
30,29,30M 57S
30,31,30M 11S
32,31,29M 19S
32,34,28M 53S
32,36,28M 24S
35,36,28M 7S
35,38,27M 49S
35,41,27M 22S
38,41,27M 5S
38,44,26M 31S
38,47,25M 34S
39,47,25M 21S
40,47,25M 21S
42,47,24M 36S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
42,50,23M 45S
44,50,23M 28S
45,50,23M 28S
45,52,23M 10S
48,52,22M 58S
50,52,22M 8S
50,53,21M 55S
50,56,21M 31S
50,59,20M 53S
52,59,20M 37S
54,59,19M 25S
54,62,17M 58S
56,62,17M 13S
56,64,16M 54S
56,67,16M 27S
56,69,16M 9S
57,69,15M 48S
60,69,15M 22S
60,72,14M 26S
62,72,14M 8S
62,75,13M 30S
63,75,12M 45S
64,75,12M 45S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
66,75,11M 43S
67,75,11M 7S
69,75,10M 48S
69,78,10M 30S
70,78,10M 16S
71,78,10M 16S
72,78,10M 16S
72,80,9M 53S
73,80,9M 38S
74,80,9M 38S
76,80,8M 20S
76,82,7M 58S
77,82,7M 48S
78,82,7M 48S
78,84,7M 37S
80,84,7M 22S
83,84,5M 49S
83,86,5M 22S
84,86,4M 35S
84,88,3M 38S
84,89,3M 38S
87,89,3M 16S
89,89,2M 35S
89,91,2M 3S
89,93,1M 28S
89,94,1M 28S
89,96,1M 0S
89,97,48S
89,98,48S
91,98,42S
91,100,35S
93,100,30S
93,101,22S
93,102,22S
End of 4th quarter,NA,0S
