Dallas,LA Clippers,time_rem
1-2,2-1,48M 0S
0,2,47M 41S
2,2,47M 24S
4,2,46M 26S
5,2,46M 26S
7,2,45M 57S
9,2,45M 38S
10,2,45M 38S
10,4,44M 11S
13,4,43M 17S
13,5,42M 36S
16,5,41M 50S
18,5,40M 52S
19,5,40M 24S
20,5,40M 24S
22,5,39M 40S
25,5,39M 23S
25,6,39M 10S
25,7,39M 10S
27,7,38M 59S
27,9,38M 8S
29,9,37M 58S
29,11,37M 43S
31,11,37M 23S
34,11,36M 39S
36,11,36M 6S
36,13,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,13,35M 33S
41,13,34M 49S
43,13,34M 25S
45,13,33M 56S
45,16,33M 5S
48,16,32M 52S
50,16,32M 29S
51,16,32M 29S
54,16,32M 6S
56,16,31M 35S
56,17,31M 22S
56,18,31M 22S
57,18,31M 11S
58,18,31M 11S
60,18,30M 49S
62,18,30M 20S
62,20,29M 1S
65,20,27M 48S
65,21,27M 36S
67,21,27M 11S
67,23,27M 1S
69,23,26M 38S
70,23,26M 38S
70,25,25M 47S
71,25,25M 27S
72,25,25M 27S
74,25,25M 15S
74,26,24M 55S
74,27,24M 55S
77,27,24M 23S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
77,29,23M 22S
77,30,22M 45S
77,31,22M 45S
77,32,22M 19S
77,33,22M 19S
77,35,21M 52S
77,37,21M 32S
80,37,21M 14S
80,39,20M 53S
81,39,20M 40S
83,39,20M 21S
83,41,19M 29S
83,43,18M 44S
85,43,18M 36S
86,43,18M 36S
86,45,18M 23S
87,45,18M 10S
88,45,18M 10S
88,47,17M 55S
89,47,17M 39S
90,47,17M 39S
90,50,16M 9S
93,50,15M 46S
96,50,15M 11S
96,51,14M 55S
96,52,14M 55S
99,52,14M 45S
102,52,13M 57S
102,54,13M 22S
102,55,12M 40S
103,55,12M 29S
104,55,12M 29S
104,57,12M 10S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
105,57,11M 34S
106,57,11M 34S
108,57,10M 58S
108,59,10M 41S
108,61,10M 16S
108,63,9M 21S
110,63,9M 10S
111,63,8M 46S
112,63,8M 46S
114,63,7M 52S
116,63,7M 27S
118,63,6M 43S
120,63,6M 5S
120,66,5M 41S
120,68,4M 57S
120,71,4M 26S
120,72,2M 0S
120,73,2M 0S
121,73,1M 43S
122,73,1M 43S
124,73,1M 7S
End of 4th quarter,NA,0S
