Dallas,Minnesota,time_rem
42-30,23-49,48M 0S
0,0,47M 38S
0,3,47M 21S
2,3,46M 50S
4,3,46M 33S
6,3,45M 37S
6,5,45M 20S
6,7,44M 45S
6,10,43M 58S
8,10,43M 35S
8,13,43M 18S
8,14,43M 4S
8,16,42M 15S
8,18,41M 2S
8,19,40M 39S
8,20,40M 39S
10,20,40M 24S
11,20,40M 24S
11,21,40M 10S
11,22,40M 10S
13,22,39M 56S
13,25,39M 25S
14,25,39M 0S
15,25,39M 0S
15,27,38M 47S
17,27,38M 31S
17,29,38M 13S
17,30,37M 41S
17,32,37M 32S
17,35,37M 4S
19,35,36M 52S
19,38,36M 34S
21,38,36M 13S
22,38,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,38,35M 7S
24,39,34M 12S
26,39,34M 2S
27,39,34M 2S
27,42,33M 26S
27,44,33M 3S
29,44,32M 43S
29,46,32M 31S
29,49,32M 7S
29,52,31M 28S
32,52,31M 18S
32,55,31M 2S
35,55,30M 49S
35,57,30M 31S
38,57,30M 18S
38,59,29M 59S
41,59,29M 21S
44,59,28M 12S
44,61,27M 45S
46,61,27M 37S
46,64,27M 21S
48,64,26M 52S
48,65,26M 35S
50,65,26M 21S
50,68,26M 3S
53,68,25M 42S
53,71,25M 25S
55,71,25M 12S
55,73,25M 2S
55,74,25M 2S
58,74,24M 43S
60,74,24M 25S
60,75,24M 5S
60,76,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,78,23M 43S
63,78,23M 18S
63,79,22M 43S
63,80,22M 43S
66,80,22M 15S
66,83,22M 2S
68,83,21M 51S
68,85,21M 39S
70,85,21M 20S
70,88,21M 1S
70,91,20M 29S
71,91,20M 14S
72,91,20M 14S
73,91,20M 14S
73,93,19M 58S
73,95,19M 40S
75,95,19M 14S
75,98,18M 59S
76,98,18M 47S
77,98,18M 47S
80,98,18M 12S
83,98,17M 23S
83,99,16M 54S
83,100,16M 54S
83,102,16M 26S
85,102,16M 14S
85,104,15M 57S
85,105,15M 57S
87,105,15M 47S
87,107,15M 23S
87,109,14M 50S
87,111,14M 35S
88,111,14M 15S
89,111,14M 15S
92,111,13M 33S
92,113,12M 2S
95,113,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,113,11M 41S
97,115,11M 31S
97,117,10M 25S
97,119,9M 43S
100,119,9M 14S
100,120,8M 55S
103,120,8M 35S
104,120,8M 11S
105,120,8M 11S
105,122,7M 9S
107,122,6M 57S
107,123,6M 47S
107,124,6M 47S
107,126,6M 17S
109,126,5M 57S
112,126,5M 18S
113,126,4M 5S
113,127,3M 52S
113,128,3M 52S
115,128,3M 34S
115,130,3M 3S
115,132,2M 15S
Jump ball: J. Green vs. A. Edwards (T. Bey gains possession),NA,1M 43S
117,132,1M 38S
117,134,1M 26S
119,134,1M 9S
119,136,55S
120,136,49S
121,136,49S
End of 4th quarter,NA,0S
