Dallas,Sacramento,time_rem
33-27,25-36,48M 0S
0,2,47M 42S
2,2,46M 50S
2,5,46M 30S
2,8,45M 51S
2,10,45M 23S
2,12,44M 51S
2,15,43M 59S
3,15,43M 45S
3,17,42M 45S
3,20,42M 10S
5,20,41M 20S
7,20,40M 49S
9,20,39M 41S
9,23,39M 29S
11,23,39M 13S
11,25,38M 40S
13,25,38M 26S
13,28,37M 58S
13,31,37M 23S
15,31,37M 11S
17,31,36M 8S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
18,31,35M 47S
19,31,35M 47S
19,33,35M 27S
21,33,35M 15S
21,35,34M 47S
24,35,34M 0S
24,37,33M 45S
24,40,33M 20S
26,40,33M 6S
29,40,32M 40S
29,42,32M 24S
31,42,31M 58S
33,42,30M 58S
33,43,30M 52S
33,44,30M 52S
35,44,30M 36S
38,44,30M 14S
38,46,29M 59S
39,46,29M 42S
40,46,29M 42S
40,48,29M 26S
42,48,29M 13S
42,50,28M 56S
44,50,28M 37S
47,50,27M 57S
47,52,27M 42S
49,52,27M 28S
49,53,26M 58S
49,54,26M 58S
49,56,25M 17S
49,59,24M 27S
52,59,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,59,23M 46S
55,60,23M 34S
55,61,23M 34S
58,61,23M 9S
61,61,22M 13S
63,61,21M 50S
63,63,21M 36S
65,63,21M 24S
65,65,21M 8S
65,67,20M 15S
65,68,19M 53S
65,69,19M 53S
65,71,19M 27S
68,71,19M 9S
68,73,18M 45S
70,73,18M 14S
70,75,17M 53S
70,76,17M 16S
70,77,17M 16S
73,77,16M 58S
73,79,16M 23S
73,81,15M 52S
76,81,15M 28S
76,84,15M 10S
78,84,14M 59S
78,87,14M 34S
80,87,14M 2S
82,87,13M 20S
85,87,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,87,11M 43S
87,89,11M 17S
89,89,11M 1S
89,91,10M 37S
91,91,10M 25S
92,91,10M 25S
92,94,10M 13S
94,94,9M 59S
94,96,8M 44S
95,96,7M 59S
95,98,7M 43S
97,98,7M 26S
97,100,6M 9S
97,101,5M 22S
97,102,5M 22S
99,102,4M 31S
99,104,4M 7S
101,104,3M 17S
101,106,3M 1S
101,109,2M 27S
102,109,2M 5S
104,109,1M 43S
104,110,29S
104,111,29S
106,111,22S
Jump ball: T. Burke vs. T. Haliburton (L. Dončić gains possession),NA,16S
106,112,2S
106,113,2S
End of 4th quarter,NA,0S
