Dallas,Toronto,time_rem
6-7,5-8,48M 0S
0,0,47M 41S
2,0,46M 40S
2,2,46M 31S
5,2,45M 48S
5,4,45M 36S
7,4,45M 11S
7,6,44M 57S
8,6,44M 21S
8,9,44M 6S
10,9,42M 37S
11,9,42M 14S
12,9,42M 14S
12,11,41M 33S
12,13,41M 5S
13,13,40M 26S
14,13,40M 26S
14,14,40M 18S
14,15,40M 18S
16,15,40M 3S
16,17,39M 5S
16,19,38M 10S
16,21,37M 0S
16,22,36M 58S
17,22,36M 15S
18,22,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
20,22,35M 34S
21,22,34M 38S
21,24,34M 12S
23,24,34M 3S
26,24,33M 42S
26,26,33M 22S
26,29,32M 51S
28,29,32M 42S
28,31,32M 4S
28,33,31M 35S
28,35,31M 9S
28,37,30M 43S
31,37,30M 14S
31,39,29M 56S
31,41,29M 27S
33,41,29M 14S
36,41,28M 15S
36,43,28M 0S
38,43,27M 46S
39,43,27M 46S
41,43,26M 46S
44,43,26M 22S
44,45,26M 3S
46,45,24M 39S
47,45,24M 39S
47,47,24M 30S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,47,23M 10S
49,47,23M 10S
49,50,22M 57S
49,53,22M 16S
51,53,22M 1S
51,55,21M 47S
53,55,21M 32S
56,55,21M 14S
56,57,19M 25S
56,58,18M 33S
56,59,18M 33S
59,59,18M 16S
59,61,17M 56S
59,64,17M 28S
59,66,16M 52S
59,67,16M 52S
61,67,16M 35S
61,70,16M 21S
61,72,15M 55S
61,75,15M 24S
62,75,15M 8S
65,75,14M 58S
65,76,13M 41S
65,77,13M 41S
67,77,13M 26S
69,77,12M 58S
69,78,12M 53S
69,79,12M 53S
71,79,12M 17S
72,79,12M 17S
72,81,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,81,11M 32S
74,84,11M 18S
76,84,10M 46S
77,84,10M 46S
77,85,10M 33S
77,86,10M 33S
77,87,10M 33S
77,89,9M 59S
77,90,9M 59S
77,92,9M 13S
77,93,9M 13S
78,93,8M 8S
79,93,8M 8S
79,95,7M 54S
82,95,7M 46S
82,96,7M 5S
83,96,6M 59S
83,99,6M 37S
83,101,6M 2S
83,104,5M 27S
85,104,5M 16S
86,104,4M 51S
87,104,4M 51S
87,106,4M 30S
87,108,4M 2S
88,108,3M 50S
89,108,3M 50S
91,108,2M 57S
91,111,2M 38S
93,111,2M 13S
93,114,1M 57S
93,116,49S
End of 4th quarter,NA,0S
