Dallas,Utah,time_rem
8-10,14-4,48M 0S
0,2,47M 39S
2,2,47M 24S
2,5,46M 28S
2,7,46M 1S
4,7,45M 33S
6,7,45M 9S
6,9,44M 25S
6,11,43M 55S
8,11,43M 36S
8,13,43M 19S
8,15,42M 29S
8,18,41M 57S
10,18,41M 42S
10,20,41M 17S
12,20,41M 1S
12,23,40M 24S
14,23,40M 7S
15,23,40M 7S
17,23,39M 38S
17,24,39M 13S
17,25,39M 13S
17,27,37M 34S
17,30,37M 16S
17,32,36M 37S
19,32,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
21,32,35M 42S
21,35,35M 21S
24,35,35M 10S
24,38,34M 22S
25,38,34M 8S
26,38,34M 8S
27,38,34M 8S
27,40,33M 57S
27,43,33M 30S
27,44,32M 21S
27,45,32M 21S
27,46,32M 21S
27,48,31M 57S
29,48,31M 32S
29,49,30M 42S
31,49,30M 18S
34,49,29M 52S
34,51,29M 36S
37,51,29M 21S
37,52,29M 5S
37,54,28M 46S
39,54,28M 20S
39,56,27M 39S
42,56,27M 26S
42,59,27M 0S
45,59,26M 42S
45,61,26M 25S
48,61,25M 49S
48,64,25M 26S
48,67,25M 6S
48,69,24M 38S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,70,23M 22S
50,70,23M 2S
50,73,22M 50S
52,73,22M 37S
54,73,22M 12S
54,75,21M 53S
57,75,21M 39S
57,76,21M 27S
57,77,21M 27S
60,77,20M 57S
63,77,20M 26S
63,80,20M 10S
65,80,19M 57S
65,81,19M 8S
65,82,19M 8S
65,85,18M 47S
67,85,18M 12S
67,87,17M 55S
67,89,17M 24S
67,91,17M 2S
69,91,16M 43S
69,93,15M 39S
71,93,15M 21S
71,95,14M 37S
73,95,14M 16S
73,98,13M 33S
76,98,13M 9S
78,98,12M 44S
78,99,12M 34S
78,100,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,100,11M 3S
82,100,10M 30S
85,100,9M 31S
85,102,9M 18S
87,102,8M 31S
87,105,8M 16S
89,105,7M 54S
89,107,7M 11S
90,107,7M 0S
91,107,7M 0S
91,109,6M 24S
91,111,5M 53S
93,111,5M 0S
95,111,3M 58S
95,112,3M 18S
95,113,3M 18S
97,113,2M 22S
98,113,2M 22S
100,113,1M 56S
100,116,1M 35S
101,116,1M 16S
104,116,38S
End of 4th quarter,NA,0S
