Denver,Detroit,time_rem
47-24,20-51,48M 0S
2,0,47M 41S
2,2,46M 50S
4,2,46M 39S
4,4,45M 40S
6,4,45M 14S
6,6,44M 50S
6,8,44M 29S
8,8,44M 15S
8,10,43M 51S
8,11,43M 37S
8,13,43M 27S
9,13,43M 23S
10,13,43M 23S
10,14,43M 11S
10,15,43M 11S
12,15,42M 50S
12,17,42M 2S
14,17,41M 36S
14,19,41M 0S
16,19,40M 28S
17,19,39M 29S
19,19,39M 2S
21,19,38M 32S
23,19,38M 19S
25,19,37M 51S
27,19,37M 31S
27,22,37M 13S
28,22,36M 34S
29,22,36M 34S
29,25,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,27,34M 50S
31,27,34M 26S
33,27,33M 33S
33,30,33M 5S
33,32,32M 34S
33,34,32M 7S
35,34,31M 19S
35,37,30M 58S
35,38,30M 17S
38,38,30M 1S
38,40,29M 42S
40,40,29M 32S
40,41,29M 11S
40,42,29M 11S
42,42,28M 58S
45,42,28M 24S
47,42,28M 1S
47,43,27M 51S
47,45,27M 42S
49,45,27M 28S
49,47,27M 12S
52,47,27M 1S
54,47,26M 35S
55,47,26M 35S
55,50,25M 17S
55,52,24M 49S
57,52,24M 26S
57,53,24M 5S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,56,23M 42S
59,56,22M 43S
59,57,22M 27S
59,58,22M 27S
61,58,22M 7S
61,60,21M 7S
63,60,20M 57S
65,60,20M 19S
65,62,20M 3S
66,62,19M 44S
67,62,19M 39S
68,62,19M 39S
68,64,19M 27S
71,64,18M 4S
74,64,17M 36S
74,66,15M 42S
76,66,15M 23S
78,66,15M 0S
80,66,14M 13S
82,66,13M 42S
82,67,13M 29S
82,68,13M 29S
84,68,13M 9S
84,70,12M 59S
87,70,12M 50S
87,72,12M 32S
87,74,12M 14S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,75,10M 48S
87,76,10M 48S
87,77,10M 11S
88,77,9M 57S
89,77,9M 57S
92,77,9M 23S
94,77,9M 3S
94,79,8M 41S
96,79,7M 47S
98,79,7M 6S
98,81,6M 50S
98,82,6M 5S
98,83,6M 5S
98,85,5M 40S
101,85,3M 2S
101,87,2M 45S
104,87,2M 30S
104,89,1M 56S
104,91,12S
End of 4th quarter,NA,0S
