Denver,Indiana,time_rem
21-15,16-19,48M 0S
0,0,47M 47S
3,0,47M 39S
6,0,47M 11S
6,2,46M 55S
9,2,46M 39S
11,2,46M 14S
13,2,45M 48S
13,4,45M 32S
13,7,44M 29S
13,10,43M 46S
13,12,43M 13S
13,14,42M 49S
13,17,42M 23S
13,19,41M 19S
15,19,40M 36S
15,21,40M 23S
17,21,40M 10S
17,23,39M 43S
19,23,39M 21S
19,24,39M 6S
21,24,38M 39S
21,26,38M 2S
21,29,37M 42S
24,29,37M 29S
26,29,37M 1S
27,29,36M 33S
28,29,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,29,35M 42S
31,31,35M 15S
33,31,34M 59S
33,33,34M 34S
36,33,34M 5S
36,36,33M 51S
38,36,33M 33S
40,36,32M 54S
42,36,32M 28S
42,37,32M 9S
42,38,32M 9S
44,38,30M 59S
44,39,30M 44S
46,39,30M 19S
46,41,30M 0S
48,41,29M 29S
48,43,28M 16S
Jump ball: J. Murray vs. T. McConnell (M. Porter gains possession),NA,27M 59S
51,43,27M 52S
51,45,27M 33S
54,45,27M 13S
57,45,26M 11S
57,48,25M 58S
59,48,25M 49S
59,50,25M 16S
60,50,24M 55S
61,50,24M 55S
61,52,24M 34S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,54,23M 40S
63,54,22M 51S
66,54,21M 32S
66,57,21M 0S
66,59,20M 33S
68,59,20M 26S
68,61,19M 27S
68,63,18M 53S
68,65,18M 34S
68,68,18M 3S
70,68,17M 31S
72,68,16M 48S
74,68,16M 19S
74,70,16M 7S
76,70,15M 43S
78,70,15M 18S
78,72,14M 12S
80,72,13M 16S
82,72,12M 33S
82,73,12M 11S
82,74,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
84,74,11M 29S
84,76,11M 16S
85,76,10M 49S
87,76,10M 1S
87,79,9M 40S
87,81,8M 55S
90,81,8M 32S
92,81,7M 43S
95,81,7M 13S
97,81,6M 0S
99,81,5M 23S
99,84,4M 33S
101,84,4M 6S
101,86,3M 52S
103,86,3M 24S
103,89,3M 11S
103,92,2M 45S
105,92,2M 8S
105,94,2M 1S
107,94,1M 43S
107,96,1M 29S
107,97,1M 3S
108,97,52S
109,97,52S
109,100,46S
110,100,44S
111,100,44S
112,100,30S
113,100,23S
113,103,13S
End of 4th quarter,NA,0S
