Denver,Minnesota,time_rem
2-4,2-4,48M 0S
2,0,47M 40S
2,1,47M 27S
2,2,47M 27S
5,2,46M 49S
5,4,46M 32S
8,4,46M 9S
9,4,45M 31S
10,4,45M 31S
10,6,45M 22S
Jump ball: N. Jokić vs. E. Davis (P. Millsap gains possession),NA,44M 59S
12,6,44M 46S
15,6,44M 19S
15,9,43M 42S
17,9,43M 24S
18,9,43M 24S
19,9,42M 41S
20,9,42M 41S
20,11,41M 43S
20,13,41M 14S
20,15,40M 27S
22,15,40M 11S
22,17,40M 2S
25,17,39M 47S
25,19,39M 32S
25,22,39M 3S
28,22,38M 41S
28,24,38M 22S
29,24,38M 9S
29,26,37M 25S
29,27,36M 1S
29,28,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,28,35M 36S
31,30,35M 24S
31,32,34M 21S
33,32,34M 6S
33,34,33M 49S
35,34,33M 37S
38,34,33M 6S
40,34,32M 19S
40,36,32M 2S
42,36,31M 48S
42,39,31M 37S
45,39,31M 6S
46,39,30M 25S
48,39,28M 38S
51,39,28M 15S
51,41,27M 39S
53,41,27M 15S
53,44,26M 59S
53,45,26M 23S
55,45,25M 51S
55,47,25M 28S
55,48,25M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,50,23M 47S
57,50,23M 29S
57,53,23M 10S
58,53,23M 0S
59,53,23M 0S
59,55,22M 48S
59,57,22M 9S
61,57,21M 55S
61,59,21M 36S
64,59,21M 22S
64,61,20M 34S
67,61,19M 59S
69,61,19M 25S
69,63,18M 48S
71,63,18M 28S
71,65,18M 13S
71,66,17M 49S
71,68,17M 17S
71,70,16M 37S
71,73,16M 23S
73,73,16M 2S
74,73,15M 33S
75,73,15M 33S
75,75,15M 14S
78,75,14M 54S
78,77,14M 42S
80,77,14M 33S
80,78,14M 13S
80,79,14M 13S
80,81,13M 39S
83,81,12M 49S
83,84,12M 30S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
83,86,11M 23S
85,86,11M 7S
88,86,9M 55S
91,86,9M 28S
94,86,8M 36S
96,86,8M 7S
98,86,7M 42S
100,86,7M 21S
100,88,7M 1S
103,88,5M 41S
103,90,5M 24S
105,90,5M 7S
108,90,4M 31S
108,92,4M 8S
110,92,3M 59S
112,92,3M 39S
113,92,3M 39S
113,93,3M 32S
113,94,3M 32S
116,94,3M 18S
116,97,3M 1S
119,97,2M 33S
119,99,2M 16S
119,101,1M 35S
121,101,1M 19S
121,104,1M 7S
122,104,55S
123,104,55S
124,104,55S
124,106,47S
124,109,11S
End of 4th quarter,NA,0S
