Denver,New Orleans,time_rem
27-18,19-25,48M 0S
2,0,47M 37S
4,0,46M 57S
4,2,46M 35S
4,5,46M 8S
4,8,45M 43S
4,10,45M 19S
6,10,44M 55S
6,12,44M 40S
8,12,44M 22S
8,14,44M 6S
8,17,43M 34S
10,17,43M 21S
10,19,43M 4S
12,19,42M 42S
12,22,42M 33S
14,22,42M 14S
16,22,41M 39S
16,25,41M 26S
19,25,40M 59S
22,25,40M 30S
23,25,39M 10S
23,26,38M 8S
26,26,37M 11S
26,28,36M 58S
26,30,36M 33S
26,31,36M 33S
26,32,36M 4S
26,33,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,35,35M 40S
26,38,35M 15S
26,40,34M 34S
28,40,34M 1S
28,42,33M 48S
31,42,32M 57S
31,44,32M 32S
33,44,32M 8S
33,45,31M 57S
35,45,31M 35S
35,46,31M 15S
35,47,31M 15S
37,47,30M 19S
39,47,29M 31S
39,50,29M 7S
41,50,28M 10S
41,53,27M 50S
44,53,27M 28S
44,55,27M 7S
46,55,26M 34S
47,55,26M 34S
47,58,26M 10S
49,58,25M 44S
49,60,25M 24S
52,60,25M 6S
54,60,24M 33S
54,61,24M 21S
54,62,24M 21S
54,63,24M 21S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
54,65,23M 42S
56,65,23M 12S
56,67,22M 52S
56,69,21M 54S
59,69,21M 40S
59,71,21M 28S
61,71,21M 11S
63,71,20M 42S
65,71,20M 14S
68,71,19M 34S
68,73,19M 16S
68,76,18M 26S
70,76,17M 54S
73,76,17M 26S
73,78,17M 5S
73,80,16M 34S
75,80,16M 13S
77,80,15M 39S
80,80,15M 24S
83,80,14M 22S
85,80,13M 35S
85,82,13M 22S
85,84,12M 52S
85,86,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,86,11M 33S
87,87,10M 58S
87,88,10M 58S
87,91,10M 31S
87,93,9M 52S
87,94,8M 42S
87,95,8M 42S
89,95,7M 59S
89,98,7M 34S
89,99,6M 56S
89,100,6M 56S
91,100,6M 47S
93,100,6M 26S
95,100,6M 8S
96,100,6M 8S
96,102,4M 44S
99,102,3M 54S
102,102,3M 29S
102,103,3M 13S
102,104,3M 13S
105,104,2M 57S
105,106,2M 40S
107,106,2M 21S
107,108,2M 7S
109,108,1M 44S
111,108,1M 3S
112,108,4S
113,108,4S
End of 4th quarter,NA,0S
