Denver,Phoenix,time_rem
0-1,1-0,48M 0S
0,0,47M 44S
0,2,47M 13S
3,2,47M 4S
5,2,46M 35S
7,2,46M 10S
8,2,46M 10S
8,4,45M 58S
11,4,45M 39S
11,6,45M 30S
11,7,45M 30S
13,7,45M 16S
13,9,45M 2S
16,9,44M 18S
16,11,43M 26S
18,11,43M 10S
18,13,42M 50S
18,14,42M 50S
20,14,42M 36S
20,16,42M 11S
20,19,41M 39S
22,19,40M 23S
24,19,38M 56S
24,22,38M 34S
26,22,38M 19S
28,22,37M 41S
28,24,37M 3S
28,27,36M 30S
28,28,36M 30S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,28,35M 47S
33,28,35M 18S
33,31,34M 43S
35,31,34M 21S
38,31,33M 56S
38,33,33M 44S
38,34,33M 44S
40,34,33M 6S
40,37,32M 49S
42,37,32M 33S
42,38,32M 14S
42,39,32M 14S
44,39,31M 30S
44,42,31M 7S
46,42,30M 47S
46,44,30M 34S
46,46,29M 42S
48,46,29M 10S
48,48,28M 49S
50,48,28M 5S
50,51,27M 51S
50,53,27M 34S
52,53,27M 22S
55,53,26M 39S
58,53,26M 18S
58,55,25M 41S
58,56,24M 44S
58,57,24M 44S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,57,23M 16S
60,57,23M 16S
62,57,22M 29S
65,57,21M 20S
65,58,20M 56S
67,58,20M 43S
67,60,20M 25S
70,60,20M 13S
70,62,19M 53S
70,63,19M 53S
71,63,19M 34S
72,63,19M 34S
72,66,19M 5S
72,67,18M 5S
72,68,18M 5S
72,71,16M 58S
72,73,16M 26S
72,74,16M 26S
72,77,16M 0S
72,79,15M 44S
75,79,15M 22S
75,81,15M 8S
77,81,14M 44S
77,83,14M 33S
79,83,13M 54S
79,85,13M 36S
79,88,13M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
79,90,11M 36S
79,92,10M 57S
79,94,10M 27S
81,94,10M 0S
81,96,9M 38S
81,97,9M 38S
84,97,9M 29S
84,100,8M 57S
84,102,8M 36S
86,102,8M 8S
88,102,7M 43S
88,103,7M 28S
88,105,6M 40S
90,105,6M 13S
90,107,5M 52S
93,107,5M 38S
93,109,5M 20S
95,109,4M 35S
95,111,4M 13S
97,111,3M 55S
97,114,3M 34S
97,116,3M 8S
100,116,2M 52S
100,118,2M 31S
100,120,2M 4S
102,120,1M 12S
105,120,51S
105,121,34S
105,122,34S
End of 4th quarter,NA,0S
