Denver,San Antonio,time_rem
11-8,11-8,48M 0S
0,0,47M 47S
0,1,47M 47S
0,3,47M 24S
3,3,46M 53S
5,3,46M 15S
7,3,45M 42S
7,5,45M 27S
9,5,45M 8S
9,8,44M 50S
11,8,44M 37S
11,10,44M 14S
13,10,44M 3S
13,12,43M 24S
13,15,42M 38S
15,15,42M 29S
15,16,42M 5S
15,17,42M 5S
18,17,41M 57S
21,17,41M 33S
21,20,41M 16S
24,20,40M 45S
24,22,40M 23S
24,25,40M 0S
26,25,39M 41S
26,26,39M 25S
26,27,39M 25S
28,27,39M 5S
28,30,38M 50S
30,30,38M 23S
30,32,37M 13S
30,35,36M 41S
30,37,36M 13S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
32,37,35M 43S
32,40,35M 22S
32,41,34M 54S
34,41,34M 5S
34,42,33M 51S
34,43,33M 51S
37,43,33M 32S
37,45,33M 10S
40,45,32M 36S
43,45,31M 58S
43,47,31M 29S
43,48,30M 52S
43,49,30M 52S
45,49,30M 38S
45,51,30M 23S
45,53,29M 55S
45,54,29M 15S
45,55,29M 15S
47,55,29M 5S
47,57,28M 53S
49,57,28M 7S
50,57,27M 30S
51,57,27M 30S
53,57,26M 58S
53,58,24M 40S
53,59,24M 40S
55,59,24M 32S
55,61,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
57,61,23M 44S
57,63,23M 25S
57,66,23M 2S
60,66,22M 45S
60,68,22M 36S
60,69,22M 36S
61,69,22M 27S
61,71,22M 1S
63,71,21M 42S
66,71,21M 8S
68,71,20M 23S
69,71,19M 55S
70,71,19M 12S
70,73,18M 32S
70,75,17M 59S
72,75,17M 43S
72,77,17M 20S
74,77,17M 9S
76,77,16M 35S
77,77,16M 14S
78,77,16M 14S
78,79,15M 38S
78,81,15M 16S
81,81,14M 19S
82,81,13M 27S
83,81,13M 27S
83,83,13M 11S
84,83,12M 51S
84,85,12M 44S
84,87,12M 8S
85,87,12M 4S
86,87,12M 4S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,90,11M 42S
89,90,11M 29S
90,90,10M 29S
90,92,10M 0S
92,92,9M 31S
92,93,8M 49S
92,94,8M 49S
92,95,8M 49S
95,95,8M 32S
95,97,7M 59S
95,98,7M 33S
95,99,7M 33S
95,101,7M 16S
95,102,7M 16S
97,102,6M 52S
97,104,6M 30S
100,104,6M 14S
100,107,5M 50S
100,109,5M 20S
100,111,5M 5S
103,111,4M 24S
103,113,3M 8S
103,115,1M 59S
103,117,1M 27S
105,117,1M 8S
105,119,49S
107,119,41S
109,119,23S
End of 4th quarter,NA,0S
