Detroit,Atlanta,time_rem
0-3,3-0,48M 0S
0,0,47M 46S
2,0,47M 29S
5,0,46M 46S
5,2,46M 0S
5,5,45M 33S
5,6,45M 13S
8,6,44M 58S
8,8,44M 39S
10,8,44M 18S
10,10,44M 7S
12,10,43M 52S
12,13,43M 35S
12,15,43M 8S
12,18,42M 11S
12,20,41M 26S
14,20,41M 6S
14,23,40M 44S
14,26,39M 29S
16,26,38M 31S
19,26,38M 8S
19,29,37M 47S
20,29,37M 35S
21,29,37M 35S
23,29,37M 16S
23,31,36M 58S
23,33,36M 16S
25,33,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,36,35M 36S
26,36,35M 18S
27,36,35M 18S
30,36,34M 40S
30,39,34M 31S
32,39,34M 21S
32,41,34M 8S
34,41,33M 45S
34,42,33M 26S
34,43,33M 26S
36,43,32M 25S
39,43,32M 1S
40,43,31M 44S
41,43,31M 13S
41,45,31M 4S
41,46,31M 4S
43,46,30M 21S
43,49,30M 5S
45,49,29M 48S
47,49,29M 20S
47,52,29M 3S
47,55,27M 15S
48,55,26M 59S
49,55,26M 59S
49,56,26M 50S
49,57,26M 50S
49,58,26M 29S
49,59,26M 29S
49,60,26M 29S
49,62,25M 34S
Jump ball: M. Plumlee vs. B. Fernando (D. Wright gains possession),NA,24M 59S
51,62,24M 55S
51,65,24M 32S
54,65,24M 24S
55,65,24M 2S
56,65,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,65,23M 45S
58,67,23M 26S
60,67,23M 6S
60,69,22M 50S
63,69,22M 31S
63,72,22M 8S
63,73,21M 43S
65,73,21M 22S
65,75,21M 5S
67,75,20M 33S
69,75,20M 11S
70,75,19M 21S
71,75,19M 21S
71,78,19M 8S
73,78,18M 54S
73,81,18M 23S
75,81,17M 37S
77,81,16M 43S
77,82,16M 36S
77,83,16M 36S
77,84,16M 36S
77,86,16M 14S
79,86,15M 59S
80,86,15M 15S
81,86,15M 15S
81,89,14M 53S
83,89,14M 34S
83,90,13M 23S
83,91,13M 23S
85,91,13M 10S
85,93,12M 59S
85,94,12M 59S
86,94,12M 42S
87,94,12M 42S
87,97,12M 39S
87,100,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,103,11M 45S
89,103,11M 4S
89,104,10M 45S
89,105,10M 45S
91,105,10M 24S
91,107,10M 10S
91,108,9M 51S
91,109,9M 51S
91,111,9M 20S
91,113,8M 38S
91,115,7M 43S
94,115,7M 19S
97,115,6M 44S
100,115,6M 1S
101,115,5M 5S
102,115,5M 5S
104,115,4M 38S
105,115,4M 16S
106,115,4M 16S
106,117,4M 3S
108,117,3M 27S
108,118,2M 43S
108,119,2M 43S
111,119,2M 21S
112,119,2M 21S
112,122,2M 1S
114,122,1M 48S
117,122,1M 5S
117,123,34S
117,124,34S
117,125,21S
117,126,21S
120,126,14S
120,127,12S
120,128,12S
End of 4th quarter,NA,0S
