Detroit,Atlanta,time_rem
3-11,7-7,48M 0S
0,0,47M 37S
0,2,47M 32S
2,2,47M 11S
2,4,47M 4S
4,4,46M 50S
4,6,46M 33S
6,6,46M 17S
6,7,46M 4S
6,8,46M 4S
8,8,45M 41S
8,10,45M 9S
10,10,44M 47S
10,13,44M 26S
10,15,43M 13S
13,15,43M 1S
13,17,42M 37S
13,19,42M 1S
16,19,41M 44S
19,19,41M 13S
19,22,40M 55S
21,22,40M 20S
23,22,39M 54S
23,24,39M 38S
25,24,39M 21S
25,26,38M 50S
27,26,38M 5S
27,28,37M 42S
27,29,37M 17S
29,29,36M 56S
30,29,36M 34S
31,29,36M 34S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,29,35M 42S
33,31,32M 49S
35,31,32M 28S
36,31,32M 28S
36,34,32M 19S
36,36,31M 28S
36,38,31M 8S
38,38,30M 58S
39,38,29M 36S
40,38,29M 36S
40,40,29M 16S
40,41,28M 44S
40,42,28M 44S
Jump ball: K. Huerter vs. W. Ellington (C. Capela gains possession),NA,28M 25S
41,42,28M 5S
42,42,27M 12S
43,42,27M 12S
45,42,26M 44S
48,42,26M 4S
50,42,25M 32S
50,45,24M 46S
52,45,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
55,45,23M 49S
55,47,23M 29S
57,47,22M 46S
59,47,22M 14S
60,47,22M 14S
60,49,22M 3S
63,49,21M 10S
63,51,20M 47S
63,54,20M 13S
Jump ball: J. Grant vs. S. Hill (W. Ellington gains possession),NA,19M 51S
66,54,19M 47S
68,54,19M 20S
68,55,19M 12S
68,56,19M 12S
68,57,19M 12S
70,57,18M 56S
70,58,18M 46S
70,59,18M 46S
73,59,18M 37S
73,61,18M 19S
75,61,18M 5S
75,63,17M 51S
76,63,17M 29S
77,63,17M 29S
77,65,17M 20S
77,67,16M 48S
77,68,16M 24S
77,69,16M 24S
77,71,16M 14S
79,71,15M 58S
79,73,15M 39S
79,75,15M 5S
81,75,14M 51S
81,77,14M 43S
81,78,14M 43S
82,78,14M 28S
83,78,14M 28S
85,78,14M 7S
88,78,13M 51S
90,78,12M 42S
92,78,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
95,78,9M 51S
95,80,9M 38S
97,80,9M 18S
97,82,9M 5S
99,82,7M 8S
99,84,6M 52S
99,87,5M 53S
101,87,5M 3S
101,88,4M 47S
Jump ball: C. Capela vs. M. Plumlee (T. Young gains possession),NA,4M 26S
101,91,4M 13S
101,92,3M 45S
101,94,3M 14S
101,96,2M 33S
103,96,2M 14S
103,98,1M 54S
103,99,1M 40S
103,100,1M 15S
103,101,1M 15S
105,101,1M 4S
106,101,1M 4S
106,102,54S
106,103,33S
106,104,33S
106,106,5S
End of 4th quarter,NA,0S
Start of 1st overtime,NA,5M 0S
Jump ball: M. Plumlee vs. C. Capela (D. Rose gains possession),NA,5M 0S
108,106,4M 44S
109,106,4M 20S
111,106,4M 5S
111,108,3M 32S
111,111,2M 33S
112,111,2M 12S
113,111,2M 12S
113,112,2M 0S
113,113,2M 0S
113,115,1M 27S
113,116,1M 27S
113,119,1M 0S
113,121,37S
115,121,31S
115,122,22S
115,123,22S
End of 1st overtime,NA,0S
