Detroit,Dallas,time_rem
18-41,31-26,48M 0S
0,0,47M 44S
0,2,47M 24S
3,2,47M 13S
6,2,46M 50S
8,2,46M 14S
8,5,45M 46S
11,5,45M 29S
11,7,45M 18S
11,10,45M 0S
13,10,44M 41S
13,12,44M 30S
14,12,44M 12S
14,15,43M 57S
15,15,43M 37S
16,15,43M 37S
18,15,43M 15S
18,18,43M 8S
21,18,42M 40S
23,18,41M 53S
25,18,41M 27S
25,21,41M 11S
27,21,40M 55S
29,21,40M 6S
29,23,39M 56S
29,25,39M 28S
31,25,39M 10S
32,25,39M 10S
32,26,38M 53S
32,29,37M 50S
34,29,37M 25S
34,31,37M 14S
34,33,36M 28S
36,33,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,35,35M 39S
38,35,35M 15S
40,35,34M 52S
40,38,33M 56S
42,38,32M 39S
45,38,32M 8S
45,40,31M 42S
45,42,31M 17S
47,42,30M 31S
47,44,30M 19S
47,47,30M 3S
49,47,29M 13S
49,49,29M 0S
49,50,28M 16S
49,51,28M 16S
50,51,28M 8S
51,51,28M 8S
52,51,28M 8S
52,53,27M 57S
54,53,27M 46S
54,55,27M 30S
56,55,27M 12S
56,57,27M 1S
56,58,27M 1S
56,60,26M 37S
56,62,26M 7S
56,64,25M 40S
58,64,25M 18S
58,67,25M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,67,23M 38S
59,70,23M 22S
60,70,23M 2S
61,70,23M 2S
61,71,22M 51S
61,72,22M 51S
64,72,22M 15S
64,74,21M 41S
67,74,20M 57S
67,75,20M 8S
69,75,19M 58S
69,78,19M 33S
69,79,19M 16S
69,80,19M 16S
72,80,19M 0S
72,81,18M 42S
72,82,18M 42S
74,82,18M 32S
74,84,18M 1S
75,84,17M 53S
76,84,17M 53S
77,84,17M 15S
78,84,17M 15S
78,86,16M 52S
81,86,16M 44S
81,87,16M 28S
81,88,16M 28S
84,88,16M 13S
84,90,15M 38S
86,90,15M 19S
86,93,15M 3S
86,95,14M 16S
86,96,14M 16S
87,96,13M 56S
87,98,13M 36S
87,100,12M 33S
90,100,12M 27S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
90,101,11M 3S
90,102,10M 32S
90,105,10M 8S
92,105,9M 51S
92,107,9M 38S
92,109,8M 30S
93,109,8M 5S
94,109,8M 5S
94,110,7M 46S
96,110,6M 34S
99,110,5M 37S
99,112,5M 22S
100,112,5M 10S
102,112,3M 46S
103,112,3M 26S
104,112,3M 26S
104,113,3M 11S
104,115,3M 0S
106,115,2M 43S
107,115,2M 43S
107,118,2M 22S
109,118,2M 12S
109,121,1M 27S
111,121,1M 15S
112,121,1M 15S
112,123,53S
112,124,53S
113,124,47S
114,124,47S
114,127,24S
117,127,12S
End of 4th quarter,NA,0S
