Detroit,Indiana,time_rem
12-31,20-23,48M 0S
3,0,47M 37S
3,2,47M 21S
5,2,47M 10S
5,4,46M 55S
7,4,46M 41S
9,4,45M 36S
9,6,44M 43S
9,7,43M 38S
9,8,43M 38S
9,10,43M 24S
9,12,41M 42S
11,12,40M 33S
11,14,39M 44S
13,14,39M 35S
15,14,39M 5S
18,14,38M 38S
18,16,38M 17S
19,16,37M 56S
22,16,37M 25S
24,16,37M 6S
24,18,36M 39S
24,21,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,23,35M 11S
24,25,34M 59S
27,25,34M 40S
29,25,34M 12S
31,25,33M 38S
31,27,33M 25S
33,27,33M 8S
33,29,32M 53S
34,29,32M 47S
34,32,32M 19S
34,35,31M 37S
37,35,31M 20S
37,37,31M 2S
39,37,30M 50S
39,39,30M 36S
39,42,30M 14S
42,42,29M 54S
42,44,29M 15S
44,44,29M 0S
44,46,28M 47S
44,49,28M 23S
46,49,27M 58S
48,49,27M 18S
48,52,26M 12S
48,54,25M 38S
48,55,25M 17S
49,55,25M 8S
50,55,25M 8S
50,57,24M 55S
51,57,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,57,23M 43S
53,57,23M 43S
53,58,22M 51S
53,59,22M 51S
53,61,22M 19S
53,62,21M 47S
53,63,21M 47S
55,63,21M 23S
55,65,20M 42S
57,65,20M 19S
60,65,20M 3S
63,65,19M 21S
63,68,19M 3S
65,68,18M 43S
66,68,18M 25S
68,68,18M 4S
68,70,17M 51S
68,72,17M 18S
70,72,16M 50S
70,75,16M 37S
70,76,16M 11S
72,76,15M 46S
72,78,15M 25S
74,78,14M 36S
76,78,14M 16S
76,81,14M 5S
76,84,12M 57S
79,84,12M 44S
79,86,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,86,11M 45S
83,86,11M 8S
83,89,11M 0S
83,90,10M 41S
86,90,10M 27S
86,92,10M 9S
88,92,9M 11S
90,92,8M 55S
92,92,8M 23S
92,94,8M 3S
93,94,7M 50S
96,94,7M 30S
96,96,7M 18S
96,99,6M 47S
98,99,6M 19S
98,102,6M 9S
98,104,5M 45S
100,104,5M 29S
100,106,5M 10S
100,109,3M 56S
102,109,3M 31S
102,111,3M 7S
104,111,2M 48S
106,111,2M 17S
108,111,1M 27S
109,111,55S
109,114,5S
110,114,2S
111,114,2S
111,115,1S
111,116,1S
End of 4th quarter,NA,0S
