Detroit,Milwaukee,time_rem
1-7,5-3,48M 0S
0,0,47M 52S
0,2,47M 33S
0,4,46M 58S
2,4,46M 52S
2,7,46M 30S
2,9,45M 51S
2,11,45M 20S
2,12,45M 20S
4,12,45M 2S
4,14,44M 32S
7,14,44M 10S
7,17,43M 57S
10,17,43M 39S
10,19,43M 28S
13,19,43M 12S
13,22,42M 46S
16,22,42M 3S
18,22,41M 43S
18,24,41M 20S
20,24,40M 19S
20,27,40M 12S
22,27,39M 34S
25,27,39M 8S
25,29,38M 51S
26,29,38M 37S
27,29,38M 37S
27,32,38M 26S
27,33,37M 54S
27,34,37M 54S
29,34,37M 43S
29,36,37M 33S
29,38,37M 7S
30,38,36M 59S
31,38,36M 59S
31,40,36M 50S
31,41,36M 36S
31,42,36M 36S
32,42,36M 24S
33,42,36M 24S
33,44,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
36,44,35M 43S
36,46,35M 23S
36,47,35M 1S
38,47,34M 49S
Jump ball: J. Nwora vs. S. Bey (B. Forbes gains possession),NA,34M 21S
38,49,34M 15S
38,51,33M 47S
38,54,33M 19S
39,54,32M 55S
40,54,32M 55S
42,54,32M 23S
42,57,32M 11S
42,60,31M 34S
45,60,31M 23S
45,61,30M 57S
45,64,30M 30S
47,64,30M 2S
47,66,29M 29S
47,67,29M 29S
47,69,29M 7S
48,69,28M 9S
50,69,27M 24S
50,72,27M 10S
50,74,26M 27S
51,74,26M 13S
52,74,26M 13S
54,74,25M 43S
54,77,25M 26S
54,78,25M 6S
54,79,25M 6S
54,82,24M 40S
56,82,24M 18S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,85,23M 31S
56,87,23M 1S
57,87,22M 42S
58,87,22M 42S
58,89,22M 26S
58,92,21M 59S
60,92,21M 10S
62,92,20M 34S
63,92,20M 26S
64,92,20M 26S
66,92,19M 50S
68,92,19M 11S
68,95,18M 49S
69,95,17M 43S
69,97,17M 0S
71,97,16M 45S
73,97,16M 16S
74,97,16M 16S
76,97,15M 18S
76,100,14M 58S
76,103,14M 1S
76,106,13M 41S
76,108,13M 0S
79,108,12M 37S
82,108,12M 20S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,110,11M 45S
84,110,11M 15S
84,112,10M 40S
87,112,10M 20S
87,114,10M 1S
90,114,9M 49S
93,114,8M 13S
93,117,7M 50S
94,117,7M 6S
94,119,6M 45S
96,119,6M 31S
96,120,6M 15S
98,120,5M 54S
99,120,5M 36S
100,120,5M 36S
102,120,5M 15S
102,122,4M 5S
104,122,3M 45S
105,122,3M 45S
105,124,2M 58S
107,124,2M 47S
107,125,2M 31S
107,126,2M 31S
108,126,2M 17S
109,126,2M 17S
109,128,2M 0S
112,128,1M 55S
112,130,1M 38S
113,130,57S
114,130,40S
115,130,40S
End of 4th quarter,NA,0S
