Detroit,Portland,time_rem
16-37,31-21,48M 0S
0,0,47M 47S
0,2,47M 32S
2,2,47M 2S
2,4,46M 37S
4,4,46M 29S
7,4,45M 57S
7,6,45M 39S
9,6,45M 24S
9,8,45M 9S
12,8,44M 27S
12,11,42M 55S
14,11,42M 34S
14,12,41M 48S
14,14,41M 19S
14,17,40M 35S
14,20,40M 16S
16,20,39M 56S
19,20,39M 34S
19,22,38M 15S
21,22,38M 5S
21,24,37M 51S
21,27,37M 21S
23,27,37M 0S
23,30,36M 45S
23,33,36M 9S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
25,33,35M 39S
25,35,35M 30S
25,38,35M 1S
25,41,34M 26S
27,41,33M 54S
27,43,33M 26S
30,43,33M 8S
31,43,32M 33S
32,43,32M 7S
33,43,32M 7S
35,43,31M 51S
36,43,31M 51S
36,45,31M 38S
38,45,31M 26S
39,45,30M 41S
41,45,30M 12S
41,47,29M 53S
43,47,29M 7S
46,47,28M 40S
46,49,28M 17S
48,49,27M 46S
48,50,27M 34S
48,51,27M 34S
50,51,27M 22S
50,53,27M 9S
50,55,25M 44S
50,57,24M 59S
50,59,24M 32S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,59,23M 33S
52,62,23M 4S
52,65,22M 32S
52,67,21M 43S
53,67,21M 1S
54,67,21M 1S
54,70,20M 38S
57,70,19M 58S
57,72,19M 39S
59,72,19M 22S
59,74,19M 0S
61,74,18M 41S
61,75,18M 17S
61,76,18M 17S
63,76,18M 1S
63,77,17M 42S
66,77,17M 6S
66,80,16M 53S
66,81,16M 27S
66,82,16M 27S
66,84,16M 7S
68,84,15M 52S
68,86,15M 39S
70,86,15M 31S
71,86,15M 3S
72,86,14M 39S
72,87,14M 19S
72,88,14M 19S
74,88,14M 7S
74,89,13M 57S
74,90,13M 57S
74,92,13M 24S
76,92,12M 56S
76,95,12M 34S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
76,97,11M 34S
78,97,11M 15S
78,98,10M 52S
78,100,10M 19S
79,100,9M 51S
79,102,9M 29S
79,103,9M 29S
80,103,9M 18S
81,103,9M 18S
83,103,8M 48S
84,103,7M 53S
85,103,7M 53S
88,103,7M 27S
88,105,7M 11S
88,106,6M 39S
90,106,6M 13S
90,108,5M 58S
90,109,5M 58S
90,111,5M 32S
92,111,5M 13S
93,111,4M 50S
94,111,4M 50S
97,111,4M 31S
97,112,4M 9S
97,113,4M 9S
99,113,3M 56S
99,115,3M 37S
99,117,2M 41S
100,117,1M 52S
101,117,1M 52S
102,117,1M 1S
103,117,1M 1S
103,118,40S
End of 4th quarter,NA,0S
