Golden State,Chicago,time_rem
1-2,0-3,48M 0S
0,0,47M 43S
2,0,47M 5S
3,0,47M 5S
3,2,46M 27S
5,2,46M 15S
7,2,45M 45S
7,4,45M 25S
7,5,44M 59S
7,6,44M 59S
9,6,44M 42S
9,8,44M 13S
9,10,43M 52S
11,10,43M 33S
11,12,42M 26S
12,12,41M 50S
13,12,41M 10S
14,12,41M 10S
16,12,39M 39S
16,13,39M 32S
16,14,39M 13S
19,14,38M 58S
19,15,38M 50S
19,17,38M 16S
19,20,37M 42S
19,22,37M 18S
22,22,37M 0S
22,23,36M 49S
22,24,36M 49S
24,24,36M 36S
24,27,36M 19S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,27,34M 29S
26,30,34M 10S
29,30,34M 0S
29,32,33M 41S
29,33,33M 41S
30,33,33M 20S
33,33,33M 14S
35,33,32M 52S
35,35,32M 18S
37,35,31M 59S
37,37,31M 45S
37,39,31M 19S
37,41,30M 55S
40,41,30M 42S
42,41,29M 28S
42,43,29M 15S
44,43,28M 45S
47,43,27M 36S
47,46,27M 26S
50,46,26M 43S
50,49,26M 27S
52,49,26M 17S
55,49,25M 55S
55,51,25M 42S
55,54,25M 4S
58,54,24M 48S
60,54,24M 26S
60,56,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,59,22M 51S
62,59,22M 34S
62,61,22M 19S
62,63,21M 7S
62,64,20M 43S
62,65,20M 43S
62,68,19M 52S
64,68,19M 36S
64,71,19M 3S
66,71,18M 49S
67,71,18M 49S
67,74,18M 14S
67,76,17M 40S
70,76,17M 26S
70,79,17M 9S
73,79,16M 56S
73,80,16M 45S
73,83,16M 28S
75,83,16M 15S
76,83,16M 15S
77,83,15M 46S
78,83,15M 46S
79,83,15M 37S
81,83,15M 15S
81,84,14M 50S
81,85,14M 50S
81,87,14M 24S
82,87,13M 59S
83,87,13M 59S
83,89,13M 16S
86,89,13M 4S
86,92,12M 54S
87,92,12M 49S
88,92,12M 49S
88,94,12M 32S
89,94,12M 28S
90,94,12M 28S
90,97,12M 8S
93,97,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
93,99,11M 37S
93,100,11M 37S
96,100,11M 24S
98,100,11M 0S
99,100,9M 53S
100,100,9M 53S
100,102,9M 40S
100,103,9M 22S
100,104,8M 57S
100,105,8M 57S
100,108,8M 29S
101,108,8M 13S
102,108,8M 13S
102,110,7M 47S
103,110,6M 45S
104,110,6M 45S
104,112,6M 24S
107,112,6M 8S
107,113,5M 49S
107,114,5M 26S
107,115,5M 26S
110,115,5M 10S
110,118,4M 27S
112,118,4M 12S
112,119,4M 11S
112,121,3M 58S
114,121,3M 49S
115,121,3M 22S
116,121,3M 22S
116,122,3M 5S
Jump ball: D. Lee vs. Z. LaVine (A. Wiggins gains possession),NA,2M 26S
117,122,2M 25S
118,122,2M 25S
118,123,2M 11S
121,123,2M 1S
121,126,54S
123,126,46S
124,126,46S
126,126,16S
126,128,5S
129,128,2S
End of 4th quarter,NA,0S
