Golden State,Memphis,time_rem
22-21,19-20,48M 0S
3,0,47M 41S
3,2,47M 16S
3,4,46M 50S
4,4,46M 36S
4,6,46M 25S
4,7,45M 46S
4,8,45M 46S
4,11,45M 1S
5,11,44M 41S
6,11,44M 41S
8,11,43M 31S
8,13,42M 25S
9,13,42M 14S
10,13,42M 14S
10,15,41M 57S
10,17,41M 34S
10,20,41M 1S
10,21,41M 1S
11,21,40M 30S
12,21,40M 30S
12,22,40M 19S
13,22,40M 6S
16,22,39M 36S
16,24,39M 20S
19,24,39M 2S
20,24,38M 43S
21,24,38M 43S
21,26,38M 12S
22,26,37M 52S
23,26,37M 52S
24,26,37M 14S
24,27,36M 39S
24,28,36M 39S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,29,35M 27S
24,30,35M 27S
26,30,35M 14S
26,32,35M 4S
28,32,34M 35S
28,35,34M 13S
30,35,33M 59S
30,36,33M 40S
30,37,33M 40S
31,37,33M 31S
31,39,33M 11S
33,39,32M 29S
33,40,32M 7S
33,41,32M 7S
35,41,31M 55S
36,41,30M 56S
37,41,30M 56S
40,41,28M 27S
40,43,26M 57S
42,43,26M 39S
44,43,25M 47S
45,43,25M 47S
45,45,25M 36S
46,45,25M 29S
47,45,25M 29S
49,45,25M 2S
49,47,24M 42S
50,47,24M 31S
51,47,24M 31S
51,49,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,49,22M 57S
53,52,22M 21S
53,55,21M 48S
54,55,21M 27S
55,55,20M 59S
56,55,20M 59S
56,56,20M 34S
56,57,20M 34S
57,57,20M 24S
58,57,20M 24S
58,59,20M 8S
58,61,19M 43S
58,64,18M 45S
60,64,18M 30S
61,64,18M 30S
61,67,18M 15S
61,68,17M 47S
61,69,17M 47S
63,69,17M 36S
63,70,17M 27S
63,71,17M 27S
64,71,16M 38S
64,74,16M 27S
64,75,16M 2S
67,75,15M 46S
69,75,15M 11S
69,77,14M 54S
72,77,14M 45S
72,79,14M 27S
75,79,14M 17S
77,79,13M 51S
77,81,13M 27S
77,82,13M 27S
79,82,13M 12S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,82,11M 16S
84,82,10M 17S
84,85,10M 6S
87,85,9M 51S
87,87,9M 31S
87,88,9M 31S
87,91,9M 6S
87,93,8M 26S
89,93,8M 10S
92,93,6M 19S
92,95,5M 59S
95,95,4M 43S
95,96,4M 6S
95,97,4M 6S
95,99,3M 31S
97,99,3M 15S
100,99,2M 43S
100,101,2M 27S
100,103,1M 43S
100,105,1M 26S
100,107,50S
103,107,32S
103,108,20S
103,109,20S
103,110,4S
103,111,4S
End of 4th quarter,NA,0S
