Golden State,Oklahoma City,time_rem
27-28,20-35,48M 0S
0,0,47M 39S
2,0,47M 14S
5,0,46M 44S
5,2,46M 29S
5,4,45M 46S
5,5,43M 43S
7,5,43M 28S
10,5,43M 10S
10,8,42M 56S
12,8,42M 33S
12,9,42M 24S
15,9,42M 18S
15,12,41M 57S
15,14,41M 15S
17,14,40M 54S
19,14,40M 27S
20,14,40M 27S
20,16,40M 16S
22,16,40M 6S
22,19,39M 51S
25,19,39M 39S
25,21,39M 13S
27,21,39M 2S
27,23,38M 27S
30,23,38M 9S
30,25,37M 45S
30,27,37M 20S
31,27,37M 3S
32,27,37M 3S
33,27,37M 3S
33,30,36M 49S
36,30,36M 32S
36,31,36M 15S
36,32,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
38,32,35M 27S
40,32,34M 52S
41,32,34M 52S
41,33,34M 31S
41,35,34M 7S
43,35,33M 54S
43,36,33M 11S
46,36,33M 0S
49,36,32M 33S
49,38,32M 12S
51,38,32M 1S
52,38,32M 1S
52,40,31M 48S
54,40,31M 29S
54,41,30M 42S
54,42,30M 42S
57,42,30M 22S
58,42,29M 56S
59,42,29M 56S
61,42,29M 26S
61,44,27M 44S
64,44,27M 32S
64,46,27M 6S
64,47,27M 6S
67,47,26M 34S
67,48,26M 27S
69,48,26M 14S
72,48,25M 54S
75,48,25M 23S
75,50,25M 11S
75,52,24M 40S
75,54,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
75,56,23M 32S
77,56,23M 19S
77,58,23M 7S
78,58,23M 4S
80,58,22M 24S
80,60,21M 44S
83,60,21M 33S
83,62,21M 16S
83,64,20M 58S
86,64,20M 42S
86,66,20M 17S
88,66,20M 10S
89,66,20M 10S
91,66,19M 48S
94,66,19M 4S
94,68,18M 46S
96,68,18M 34S
99,68,18M 10S
99,70,17M 53S
102,70,17M 33S
102,72,17M 10S
104,72,16M 44S
105,72,16M 44S
108,72,16M 21S
108,74,16M 4S
109,74,15M 38S
111,74,15M 14S
111,77,14M 51S
114,77,14M 31S
116,77,14M 4S
116,79,13M 47S
119,79,13M 36S
119,81,13M 18S
122,81,13M 10S
123,81,12M 33S
124,81,12M 33S
125,81,12M 33S
125,82,12M 26S
125,83,12M 26S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
125,85,11M 46S
128,85,11M 23S
128,87,10M 8S
128,89,9M 15S
Jump ball: A. Smailagić vs. M. Brown (G. Payton gains possession),NA,8M 57S
130,89,8M 57S
133,89,8M 21S
133,91,7M 58S
133,93,7M 47S
133,94,5M 51S
133,95,5M 51S
133,98,5M 23S
135,98,4M 33S
136,98,4M 33S
136,100,4M 23S
138,100,4M 2S
139,100,4M 2S
139,102,3M 42S
139,104,2M 39S
141,104,2M 25S
141,107,1M 28S
143,107,1M 16S
145,107,43S
146,107,34S
147,107,34S
147,109,23S
End of 4th quarter,NA,0S
