Golden State,Sacramento,time_rem
22-23,20-25,48M 0S
0,0,47M 40S
0,2,47M 37S
0,4,47M 15S
2,4,46M 47S
2,7,46M 5S
4,7,45M 43S
4,10,45M 32S
6,10,45M 22S
8,10,45M 12S
8,12,44M 58S
8,13,44M 36S
8,14,44M 36S
10,14,44M 17S
10,17,43M 1S
13,17,42M 40S
13,19,42M 24S
15,19,41M 31S
16,19,41M 31S
19,19,41M 10S
19,21,40M 56S
19,22,40M 56S
22,22,40M 35S
22,24,40M 26S
24,24,40M 13S
26,24,39M 34S
28,24,38M 54S
31,24,38M 37S
31,27,38M 26S
33,27,38M 7S
33,30,37M 57S
33,33,37M 22S
35,33,37M 1S
36,33,36M 43S
37,33,36M 43S
37,35,36M 19S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,37,35M 42S
37,40,35M 9S
38,40,34M 52S
39,40,34M 52S
39,42,34M 5S
42,42,33M 50S
42,44,33M 40S
44,44,33M 20S
44,46,33M 4S
47,46,32M 47S
47,48,32M 34S
47,50,32M 2S
47,51,31M 32S
47,52,31M 32S
50,52,31M 8S
50,54,30M 51S
50,56,30M 25S
50,57,30M 25S
52,57,29M 36S
52,60,29M 16S
52,63,28M 40S
55,63,28M 22S
58,63,27M 2S
58,65,26M 17S
58,67,25M 56S
58,70,24M 51S
61,70,24M 29S
61,72,24M 12S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
61,74,23M 46S
63,74,23M 26S
65,74,23M 1S
65,77,22M 47S
65,79,22M 2S
65,81,21M 28S
65,82,21M 28S
68,82,21M 4S
68,84,20M 44S
70,84,20M 28S
72,84,19M 36S
75,84,19M 7S
75,86,18M 52S
77,86,17M 50S
77,87,17M 2S
79,87,16M 44S
79,89,16M 26S
79,90,16M 9S
79,91,16M 9S
81,91,15M 48S
81,94,15M 39S
84,94,15M 22S
84,96,14M 38S
84,97,14M 19S
84,99,13M 56S
84,102,13M 22S
84,105,12M 22S
84,106,12M 22S
86,106,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
86,109,11M 36S
87,109,11M 27S
88,109,11M 27S
88,111,11M 13S
91,111,10M 56S
94,111,10M 27S
95,111,10M 27S
97,111,10M 4S
100,111,9M 33S
100,112,9M 19S
100,113,9M 19S
100,115,8M 41S
103,115,8M 28S
103,117,8M 10S
105,117,7M 54S
105,120,7M 14S
105,123,6M 42S
106,123,6M 30S
107,123,6M 30S
107,124,6M 18S
107,125,6M 18S
109,125,6M 3S
111,125,5M 32S
111,127,5M 16S
113,127,5M 0S
113,129,3M 33S
113,131,3M 0S
115,131,2M 47S
Jump ball: R. Holmes vs. J. Wiseman (H. Barnes gains possession),NA,2M 17S
115,133,2M 11S
115,136,1M 35S
115,139,1M 6S
116,139,1M 0S
117,139,1M 0S
119,139,37S
119,141,23S
End of 4th quarter,NA,0S
