Houston,Charlotte,time_rem
11-12,12-13,48M 0S
2,0,47M 34S
2,2,45M 57S
3,2,45M 22S
4,2,45M 22S
4,5,45M 9S
4,7,44M 32S
6,7,43M 58S
6,10,43M 35S
6,12,43M 9S
9,12,42M 57S
9,15,42M 41S
11,15,42M 33S
11,16,42M 18S
13,16,42M 6S
13,18,41M 6S
16,18,40M 51S
16,20,40M 31S
16,23,39M 53S
18,23,39M 14S
18,25,39M 4S
20,25,38M 43S
Jump ball: D. Cousins vs. M. Bridges (J. Tate gains possession),NA,37M 31S
22,25,37M 8S
23,25,36M 51S
23,28,36M 40S
25,28,36M 27S
25,29,36M 8S
25,30,36M 8S
27,30,36M 1S
27,32,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,34,35M 39S
30,34,35M 0S
31,34,35M 0S
31,36,34M 35S
34,36,34M 24S
34,39,34M 15S
35,39,33M 52S
36,39,33M 52S
38,39,32M 29S
41,39,32M 13S
41,42,31M 58S
44,42,31M 42S
44,45,31M 25S
44,48,31M 7S
47,48,30M 45S
48,48,30M 7S
48,50,29M 54S
51,50,28M 35S
53,50,28M 13S
53,51,28M 1S
53,52,28M 1S
54,52,27M 50S
54,54,27M 38S
54,55,27M 38S
56,55,27M 1S
56,58,26M 36S
56,59,26M 16S
56,60,26M 16S
56,62,25M 41S
58,62,25M 29S
58,63,24M 4S
58,64,24M 4S
60,64,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,67,23M 48S
61,67,23M 3S
62,67,23M 3S
62,70,22M 31S
64,70,22M 7S
67,70,21M 43S
67,71,21M 8S
67,72,21M 8S
69,72,20M 45S
69,75,20M 15S
69,77,19M 47S
71,77,18M 45S
74,77,18M 1S
74,79,17M 34S
74,82,16M 19S
76,82,15M 56S
79,82,15M 39S
79,84,14M 57S
81,84,14M 36S
81,87,14M 22S
83,87,14M 2S
85,87,12M 59S
87,87,12M 23S
87,90,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,92,11M 32S
87,94,10M 42S
87,97,10M 15S
87,99,9M 39S
88,99,8M 31S
88,102,7M 23S
88,105,5M 33S
88,107,4M 53S
88,109,4M 31S
91,109,4M 16S
91,111,3M 52S
94,111,2M 58S
94,113,2M 40S
Jump ball: N. Richards vs. R. Kurucs (M. Monk gains possession),NA,2M 9S
94,115,2M 0S
94,117,1M 32S
94,119,56S
End of 4th quarter,NA,0S
