Houston,Minnesota,time_rem
13-32,11-35,48M 0S
0,2,47M 48S
2,2,47M 31S
2,5,47M 15S
5,5,47M 3S
5,8,46M 48S
8,8,46M 37S
10,8,45M 54S
12,8,45M 22S
12,10,45M 8S
12,13,44M 42S
12,15,44M 23S
14,15,44M 14S
14,17,44M 3S
14,19,43M 29S
17,19,43M 13S
19,19,42M 41S
22,19,42M 12S
22,21,41M 56S
24,21,41M 38S
24,23,41M 7S
24,25,40M 26S
26,25,40M 12S
29,25,39M 47S
31,25,39M 25S
32,25,39M 25S
32,27,39M 11S
35,27,38M 21S
37,27,37M 35S
39,27,37M 23S
39,28,36M 59S
39,29,36M 59S
41,29,36M 15S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
43,29,35M 47S
44,29,34M 4S
45,29,34M 4S
45,31,33M 51S
47,31,33M 7S
49,31,32M 33S
49,32,32M 24S
51,32,32M 9S
53,32,31M 41S
54,32,31M 41S
54,34,31M 26S
56,34,30M 55S
56,37,30M 5S
56,39,29M 31S
59,39,28M 12S
59,40,27M 32S
59,41,27M 32S
61,41,27M 16S
64,41,27M 5S
64,42,26M 42S
66,42,26M 4S
69,42,25M 42S
71,42,25M 19S
71,45,25M 11S
74,45,24M 45S
74,48,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
75,48,23M 1S
76,48,23M 1S
79,48,22M 24S
81,48,22M 6S
81,49,21M 46S
81,50,21M 46S
83,50,20M 37S
83,53,20M 13S
83,54,19M 46S
83,55,19M 46S
86,55,19M 30S
89,55,18M 49S
89,57,18M 20S
89,60,17M 26S
89,61,17M 7S
89,62,17M 7S
89,64,16M 23S
92,64,16M 9S
92,67,15M 59S
93,67,15M 17S
94,67,15M 17S
94,70,14M 39S
94,71,14M 0S
94,72,14M 0S
94,73,13M 31S
94,74,13M 31S
95,74,13M 17S
96,74,13M 17S
96,75,13M 6S
96,76,13M 6S
96,78,12M 36S
98,78,12M 19S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
98,80,11M 41S
100,80,11M 23S
102,80,11M 1S
103,80,11M 1S
106,80,10M 27S
109,80,9M 56S
112,80,9M 35S
114,80,8M 23S
114,83,8M 11S
114,85,7M 46S
116,85,7M 25S
116,86,7M 10S
116,87,7M 10S
116,89,6M 42S
116,90,6M 42S
118,90,6M 28S
118,93,6M 19S
120,93,5M 58S
120,95,5M 4S
122,95,4M 39S
122,97,4M 20S
125,97,4M 0S
125,99,3M 49S
125,100,3M 49S
125,102,3M 14S
127,102,2M 54S
127,105,2M 42S
129,105,49S
129,107,40S
End of 4th quarter,NA,0S
