Houston,New Orleans,time_rem
9-9,7-11,48M 0S
0,2,47M 45S
0,5,46M 57S
2,5,46M 33S
2,7,46M 7S
2,10,45M 17S
4,10,44M 56S
6,10,44M 26S
9,10,44M 4S
9,12,43M 41S
9,14,43M 18S
11,14,42M 41S
11,17,42M 25S
13,17,42M 4S
13,19,41M 22S
15,19,41M 10S
15,22,40M 15S
15,25,39M 14S
17,25,38M 59S
17,27,38M 39S
20,27,38M 18S
20,29,37M 46S
20,30,37M 46S
22,30,37M 31S
22,32,37M 3S
24,32,36M 53S
24,35,36M 43S
27,35,36M 1S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,37,35M 36S
29,37,35M 19S
30,37,34M 33S
31,37,34M 33S
32,37,34M 4S
33,37,34M 4S
35,37,33M 33S
35,40,33M 16S
37,40,32M 20S
39,40,31M 32S
39,42,31M 12S
42,42,30M 37S
42,44,30M 24S
42,45,30M 24S
42,46,30M 24S
43,46,29M 53S
46,46,29M 36S
49,46,29M 5S
49,48,28M 29S
52,48,28M 23S
54,48,28M 1S
57,48,27M 29S
57,49,27M 18S
57,50,27M 18S
57,52,26M 54S
59,52,26M 40S
62,52,26M 14S
62,54,26M 0S
63,54,25M 36S
64,54,25M 36S
66,54,25M 9S
69,54,24M 48S
69,55,24M 36S
72,55,24M 17S
72,57,24M 3S
75,57,24M 2S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
78,57,23M 45S
78,59,23M 24S
80,59,23M 1S
80,61,22M 44S
82,61,22M 24S
82,63,21M 59S
85,63,21M 40S
85,66,21M 27S
85,68,20M 54S
85,70,20M 35S
86,70,19M 42S
86,72,19M 30S
86,74,18M 34S
86,76,17M 42S
86,77,16M 48S
86,78,16M 48S
87,78,16M 19S
88,78,16M 19S
89,78,16M 19S
89,80,16M 6S
90,80,15M 14S
91,80,15M 14S
94,80,15M 4S
97,80,14M 7S
97,81,13M 48S
97,83,13M 15S
99,83,13M 7S
99,84,12M 19S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
99,85,11M 43S
99,86,11M 43S
102,86,11M 13S
102,88,10M 48S
104,88,10M 20S
106,88,9M 53S
107,88,9M 50S
109,88,9M 14S
110,88,8M 57S
111,88,8M 57S
111,91,8M 41S
113,91,8M 16S
113,92,8M 0S
113,93,7M 45S
113,94,7M 45S
115,94,7M 29S
115,96,7M 19S
118,96,6M 58S
118,97,6M 42S
120,97,6M 24S
120,100,6M 10S
123,100,5M 5S
123,101,4M 30S
123,102,4M 30S
126,102,3M 50S
126,104,3M 27S
126,107,1M 21S
Jump ball: W. Gabriel vs. B. McLemore (S. Thornwell gains possession),NA,50S
126,110,49S
126,112,25S
End of 4th quarter,NA,0S
