Houston,New York,time_rem
11-15,13-15,48M 0S
2,0,47M 34S
2,2,46M 50S
4,2,46M 11S
6,2,45M 30S
6,4,45M 19S
8,4,44M 58S
8,7,44M 35S
8,8,43M 59S
8,9,43M 59S
8,11,43M 21S
10,11,43M 8S
10,14,42M 47S
10,17,42M 12S
12,17,41M 59S
12,20,41M 26S
14,20,40M 52S
16,20,40M 16S
16,22,39M 35S
18,22,39M 19S
18,23,38M 29S
18,24,38M 29S
18,25,37M 48S
18,26,37M 48S
20,26,37M 36S
20,28,37M 16S
23,28,37M 5S
23,30,36M 40S
25,30,36M 35S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,30,35M 31S
27,32,34M 52S
27,35,34M 23S
28,35,34M 9S
29,35,34M 9S
29,37,34M 0S
29,38,34M 0S
29,41,33M 43S
29,43,33M 11S
31,43,33M 1S
31,45,32M 50S
32,45,31M 22S
35,45,30M 11S
35,47,29M 0S
36,47,28M 55S
36,49,28M 42S
36,51,28M 13S
38,51,27M 49S
38,53,27M 37S
38,55,27M 18S
39,55,27M 3S
40,55,27M 3S
40,57,26M 52S
41,57,26M 30S
43,57,26M 13S
43,59,25M 21S
44,59,24M 46S
45,59,24M 46S
45,61,24M 34S
47,61,24M 14S
47,63,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
47,64,23M 50S
47,65,23M 50S
49,65,23M 38S
49,67,22M 31S
50,67,22M 11S
51,67,22M 11S
53,67,21M 54S
53,70,21M 30S
56,70,21M 10S
58,70,20M 45S
58,72,20M 34S
58,74,19M 54S
59,74,19M 42S
60,74,19M 42S
60,76,19M 21S
63,76,18M 47S
66,76,18M 14S
66,77,18M 0S
68,77,17M 29S
70,77,17M 5S
70,79,16M 15S
71,79,16M 4S
72,79,16M 4S
73,79,15M 40S
74,79,15M 40S
74,81,14M 15S
74,84,13M 48S
75,84,13M 30S
75,87,12M 29S
Jump ball: T. Gibson vs. D. House (J. Randle gains possession),NA,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
75,90,10M 59S
77,90,10M 41S
77,91,10M 23S
77,92,10M 23S
77,93,10M 23S
80,93,10M 10S
80,95,9M 51S
80,96,9M 51S
80,98,9M 27S
82,98,9M 3S
82,101,8M 45S
85,101,8M 32S
85,103,7M 52S
87,103,7M 36S
87,105,7M 19S
87,108,6M 47S
88,108,6M 37S
89,108,6M 37S
89,109,6M 1S
89,110,6M 1S
90,110,4M 36S
91,110,4M 36S
91,112,3M 49S
91,113,3M 49S
92,113,3M 42S
93,113,3M 42S
94,113,3M 42S
94,115,3M 9S
97,115,2M 57S
97,116,2M 45S
97,117,2M 45S
99,117,1M 56S
99,119,1M 19S
99,121,47S
End of 4th quarter,NA,0S
