Indiana,Charlotte,time_rem
11-8,8-11,48M 0S
3,0,47M 35S
3,2,47M 15S
6,2,46M 58S
6,4,46M 44S
9,4,46M 33S
9,6,46M 16S
10,6,45M 26S
11,6,45M 26S
11,9,45M 6S
11,12,44M 8S
13,12,43M 23S
13,14,43M 7S
13,17,42M 12S
15,17,41M 28S
17,17,41M 1S
17,19,40M 38S
18,19,40M 18S
19,19,40M 18S
21,19,39M 13S
24,19,38M 27S
24,20,38M 16S
24,23,37M 47S
26,23,37M 25S
26,25,37M 7S
26,27,36M 46S
28,27,36M 30S
28,29,36M 28S
28,30,36M 28S
28,32,36M 5S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
28,34,35M 48S
30,34,35M 20S
30,37,35M 0S
32,37,34M 35S
32,39,34M 16S
34,39,33M 42S
36,39,33M 18S
36,41,33M 2S
36,42,32M 40S
36,43,32M 40S
39,43,32M 10S
39,46,31M 47S
41,46,30M 41S
41,48,30M 20S
43,48,30M 7S
43,51,29M 41S
44,51,29M 17S
46,51,28M 49S
46,54,28M 33S
46,57,28M 8S
48,57,27M 54S
48,59,27M 48S
48,62,27M 8S
50,62,26M 47S
53,62,26M 28S
55,62,25M 44S
55,64,25M 27S
57,64,25M 14S
60,64,24M 13S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
60,67,23M 42S
60,69,23M 8S
60,72,22M 31S
62,72,21M 11S
64,72,20M 45S
65,72,20M 15S
65,75,19M 55S
65,77,18M 6S
68,77,17M 48S
70,77,16M 44S
70,79,16M 28S
72,79,16M 14S
73,79,15M 48S
74,79,15M 48S
74,81,15M 24S
76,81,14M 43S
76,83,14M 16S
76,86,13M 53S
78,86,13M 36S
80,86,13M 12S
80,88,13M 4S
80,89,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
80,91,11M 21S
82,91,10M 43S
82,92,10M 25S
83,92,10M 13S
85,92,8M 58S
86,92,8M 58S
89,92,8M 31S
91,92,8M 1S
Jump ball: J. Lamb vs. C. Zeller (J. Lamb gains possession),NA,7M 44S
91,94,7M 8S
94,94,5M 27S
94,96,5M 2S
96,96,4M 30S
96,98,4M 8S
98,98,3M 52S
100,98,3M 6S
100,100,2M 7S
100,102,1M 46S
103,102,1M 31S
103,105,1M 10S
103,108,52S
105,108,41S
End of 4th quarter,NA,0S
