Indiana,Cleveland,time_rem
16-18,14-22,48M 0S
0,0,47M 46S
0,1,47M 46S
0,2,47M 46S
2,2,47M 30S
2,4,47M 5S
4,4,46M 57S
4,7,46M 38S
6,7,46M 22S
6,10,46M 0S
8,10,45M 43S
10,10,45M 20S
10,12,45M 11S
13,12,44M 23S
13,14,43M 25S
15,14,42M 38S
15,16,42M 20S
15,17,42M 20S
15,20,42M 0S
15,22,41M 29S
15,24,41M 5S
17,24,40M 23S
20,24,40M 3S
22,24,39M 48S
24,24,39M 22S
26,24,38M 55S
28,24,38M 33S
28,26,37M 21S
28,28,36M 53S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,28,35M 46S
32,28,35M 16S
33,28,35M 16S
33,30,35M 5S
35,30,34M 10S
35,32,34M 0S
35,34,33M 34S
35,36,33M 0S
37,36,32M 51S
37,38,32M 33S
37,40,31M 53S
39,40,31M 16S
39,42,30M 52S
41,42,30M 21S
43,42,29M 6S
43,44,28M 40S
43,46,28M 0S
43,49,27M 33S
45,49,27M 1S
Jump ball: J. Allen vs. J. Lamb (C. Sexton gains possession),NA,26M 32S
45,52,26M 25S
47,52,25M 57S
47,54,25M 45S
47,56,25M 10S
47,59,24M 51S
49,59,24M 38S
51,59,24M 15S
51,60,24M 0S
51,61,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
51,64,23M 14S
53,64,23M 0S
53,66,22M 42S
56,66,22M 28S
56,69,22M 13S
56,72,21M 1S
58,72,20M 8S
58,74,19M 53S
59,74,19M 44S
60,74,19M 44S
60,76,19M 24S
60,77,19M 24S
60,79,18M 42S
62,79,18M 29S
62,80,18M 7S
62,81,18M 7S
64,81,17M 47S
Jump ball: J. Allen vs. D. Sabonis (I. Okoro gains possession),NA,17M 16S
66,81,16M 57S
66,83,16M 22S
69,83,16M 14S
71,83,15M 36S
73,83,15M 11S
76,83,14M 41S
76,86,14M 14S
78,86,13M 57S
79,86,13M 57S
82,86,13M 23S
82,88,12M 56S
82,90,12M 23S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
82,92,11M 22S
84,92,11M 3S
86,92,8M 56S
87,92,8M 56S
89,92,8M 23S
90,92,8M 0S
90,94,7M 37S
90,95,7M 37S
92,95,7M 24S
93,95,7M 2S
94,95,7M 2S
96,95,6M 36S
96,96,6M 19S
96,97,6M 19S
99,97,6M 6S
99,99,5M 49S
101,99,5M 29S
102,99,5M 2S
103,99,5M 2S
103,101,4M 36S
105,101,4M 19S
105,104,3M 10S
105,105,2M 25S
105,106,2M 25S
108,106,1M 18S
110,106,1M 4S
110,107,54S
112,107,38S
112,109,35S
112,111,1S
113,111,1S
114,111,1S
End of 4th quarter,NA,0S
