Indiana,Milwaukee,time_rem
12-10,13-8,48M 0S
0,0,47M 45S
0,2,47M 17S
0,4,46M 49S
2,4,46M 9S
2,7,45M 57S
4,7,45M 1S
4,10,44M 45S
7,10,43M 47S
7,13,43M 23S
10,13,42M 31S
10,16,42M 15S
10,18,41M 48S
10,19,41M 48S
10,21,41M 20S
12,21,41M 7S
14,21,40M 41S
14,24,39M 36S
16,24,39M 2S
Jump ball: T. Craig vs. T. McConnell (D. Augustin gains possession),NA,38M 41S
19,24,38M 26S
19,26,37M 35S
19,29,37M 10S
21,29,36M 40S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
24,29,35M 47S
24,32,35M 5S
26,32,34M 53S
26,34,34M 44S
26,35,34M 17S
26,36,34M 17S
26,37,34M 17S
28,37,34M 4S
29,37,33M 41S
30,37,33M 41S
30,40,33M 27S
30,42,32M 57S
30,44,32M 41S
33,44,32M 21S
33,47,32M 5S
33,49,31M 35S
33,50,31M 35S
35,50,31M 22S
35,52,30M 41S
35,53,30M 19S
35,54,30M 19S
35,57,29M 32S
37,57,29M 7S
37,60,28M 55S
40,60,28M 4S
42,60,27M 33S
42,61,27M 22S
44,61,26M 39S
47,61,26M 13S
47,63,25M 20S
49,63,25M 1S
49,66,24M 35S
50,66,24M 24S
51,66,24M 24S
51,67,24M 7S
51,68,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
53,68,23M 18S
55,68,22M 59S
55,70,22M 44S
57,70,22M 12S
57,73,21M 51S
57,74,21M 24S
57,76,21M 15S
59,76,20M 58S
61,76,20M 26S
61,78,20M 3S
61,80,19M 33S
61,83,19M 9S
61,85,18M 49S
61,88,18M 27S
63,88,18M 11S
66,88,17M 41S
66,90,17M 13S
66,92,16M 43S
66,94,15M 45S
68,94,15M 33S
68,96,15M 16S
70,96,15M 3S
70,97,14M 50S
70,98,14M 50S
70,100,13M 43S
70,103,13M 15S
70,106,12M 49S
72,106,12M 35S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,109,11M 46S
74,109,11M 27S
74,111,10M 45S
74,114,10M 15S
77,114,10M 2S
78,114,9M 42S
79,114,9M 42S
81,114,9M 17S
81,116,8M 38S
83,116,8M 3S
86,116,7M 35S
88,116,7M 14S
88,119,7M 1S
91,119,6M 49S
92,119,6M 33S
93,119,6M 33S
94,119,6M 13S
95,119,6M 13S
95,121,5M 54S
97,121,5M 41S
98,121,4M 26S
99,121,4M 26S
99,123,3M 51S
101,123,3M 42S
103,123,3M 22S
103,126,2M 45S
104,126,2M 27S
106,126,1M 58S
106,128,1M 7S
108,128,53S
108,130,37S
110,130,28S
End of 4th quarter,NA,0S
