Indiana,Toronto,time_rem
34-38,27-45,48M 0S
0,0,47M 42S
0,2,47M 29S
Jump ball: F. Gillespie vs. D. Sabonis (S. Johnson gains possession),NA,46M 59S
0,4,46M 47S
3,4,46M 26S
6,4,45M 59S
7,4,45M 4S
8,4,45M 4S
8,6,44M 49S
8,8,44M 29S
10,8,44M 16S
12,8,43M 33S
12,11,42M 52S
15,11,42M 33S
15,13,41M 56S
17,13,41M 46S
17,15,41M 22S
19,15,41M 10S
19,16,40M 40S
19,18,40M 11S
19,20,39M 44S
22,20,39M 24S
22,22,39M 4S
25,22,38M 21S
25,25,38M 7S
28,25,37M 49S
28,27,37M 11S
31,27,36M 53S
31,30,36M 33S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,31,35M 34S
31,32,35M 34S
33,32,35M 21S
35,32,34M 40S
36,32,34M 3S
37,32,34M 3S
37,33,33M 24S
37,34,33M 24S
40,34,33M 12S
40,35,32M 56S
40,36,32M 56S
40,38,32M 35S
42,38,32M 22S
42,41,32M 12S
44,41,31M 50S
44,42,31M 24S
47,42,31M 17S
Jump ball: F. Gillespie vs. D. Sabonis (A. Baynes gains possession),NA,30M 59S
47,43,30M 33S
48,43,30M 21S
49,43,30M 21S
49,45,29M 41S
49,46,29M 41S
52,46,28M 56S
53,46,28M 35S
53,47,28M 25S
53,48,28M 25S
56,48,27M 40S
56,49,27M 33S
56,50,27M 33S
58,50,26M 57S
60,50,26M 43S
62,50,26M 6S
63,50,25M 52S
64,50,25M 52S
64,51,25M 20S
64,52,25M 20S
66,52,25M 7S
68,52,24M 12S
68,55,24M 3S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
70,55,23M 22S
70,57,23M 7S
72,57,22M 52S
72,59,22M 41S
72,61,22M 13S
72,64,21M 48S
74,64,21M 34S
75,64,20M 54S
76,64,20M 54S
76,66,20M 38S
78,66,20M 18S
80,66,18M 58S
82,66,17M 52S
83,66,16M 57S
83,69,16M 41S
85,69,16M 4S
85,72,15M 52S
85,74,14M 51S
86,74,14M 41S
87,74,14M 41S
89,74,14M 15S
89,75,14M 2S
89,76,14M 2S
91,76,13M 50S
94,76,13M 26S
94,79,13M 9S
94,81,12M 35S
94,83,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
96,83,11M 49S
99,83,10M 51S
99,85,10M 41S
99,87,10M 15S
101,87,9M 59S
101,88,9M 41S
101,91,8M 27S
103,91,7M 51S
106,91,7M 19S
106,93,6M 56S
108,93,6M 39S
108,95,6M 15S
108,97,5M 57S
110,97,5M 35S
110,98,5M 24S
110,99,5M 24S
110,100,5M 4S
110,101,5M 4S
112,101,4M 45S
112,103,4M 33S
115,103,4M 10S
117,103,3M 43S
Jump ball: D. Sabonis vs. D. Bembry (J. Holiday gains possession),NA,2M 53S
119,103,2M 49S
119,106,2M 28S
121,106,2M 10S
121,108,1M 55S
121,111,1M 25S
123,111,1M 4S
125,111,36S
125,113,23S
End of 4th quarter,NA,0S
