Indiana,Washington,time_rem
30-34,30-35,48M 0S
0,0,47M 48S
2,0,47M 33S
2,2,47M 11S
4,2,46M 58S
7,2,46M 34S
7,4,46M 18S
7,5,46M 6S
7,7,45M 43S
7,9,45M 23S
9,9,45M 7S
9,10,44M 53S
9,11,44M 53S
9,13,44M 18S
11,13,44M 9S
11,15,43M 59S
11,17,43M 41S
11,18,43M 41S
13,18,43M 27S
14,18,43M 27S
14,20,43M 16S
15,20,42M 53S
16,20,42M 53S
16,22,42M 30S
19,22,42M 17S
19,25,41M 56S
21,25,41M 41S
23,25,41M 14S
23,27,41M 2S
25,27,40M 47S
25,29,40M 39S
25,31,39M 16S
27,31,39M 3S
27,34,38M 39S
29,34,38M 26S
29,36,36M 58S
31,36,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,38,35M 36S
33,38,35M 26S
33,40,35M 13S
35,40,35M 4S
35,42,34M 52S
36,42,34M 43S
37,42,34M 43S
37,45,34M 32S
40,45,34M 3S
43,45,33M 25S
43,47,33M 2S
43,49,32M 49S
45,49,32M 33S
45,51,32M 19S
47,51,31M 55S
47,52,31M 45S
47,53,31M 45S
49,53,30M 51S
49,55,30M 26S
51,55,30M 14S
51,57,29M 30S
51,59,29M 3S
54,59,28M 55S
54,61,28M 46S
54,62,28M 46S
55,62,28M 36S
56,62,28M 36S
58,62,28M 15S
58,63,28M 7S
58,64,28M 7S
58,67,27M 46S
58,69,27M 30S
60,69,26M 59S
60,72,26M 45S
60,73,26M 31S
60,74,26M 31S
60,76,26M 12S
62,76,25M 37S
64,76,25M 16S
64,78,25M 2S
64,80,24M 20S
65,80,24M 4S
66,80,24M 4S
66,81,24M 1S
66,82,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,84,23M 34S
66,85,23M 34S
69,85,23M 15S
69,87,22M 23S
70,87,22M 10S
71,87,22M 10S
71,89,21M 46S
71,90,21M 46S
74,90,21M 34S
74,92,21M 23S
74,94,21M 9S
74,95,21M 9S
74,97,20M 34S
76,97,20M 20S
76,99,20M 4S
78,99,19M 55S
78,101,19M 21S
80,101,19M 5S
80,103,18M 53S
81,103,17M 29S
82,103,17M 29S
82,105,17M 11S
84,105,16M 22S
86,105,15M 56S
88,105,15M 36S
90,105,15M 15S
90,107,15M 5S
92,107,14M 45S
92,109,14M 22S
95,109,14M 7S
95,112,13M 47S
95,114,13M 25S
95,117,13M 0S
98,117,12M 53S
98,119,12M 37S
100,119,12M 32S
100,122,12M 10S
102,122,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,123,11M 44S
104,123,11M 34S
105,123,10M 41S
106,123,10M 41S
107,123,10M 6S
108,123,10M 6S
108,125,9M 43S
109,125,9M 37S
109,127,9M 32S
109,129,9M 13S
110,129,9M 5S
111,129,9M 5S
111,132,8M 56S
113,132,8M 42S
115,132,8M 21S
115,134,8M 11S
117,134,7M 57S
117,136,7M 19S
119,136,6M 55S
119,138,6M 20S
122,138,6M 5S
122,140,5M 48S
125,140,5M 36S
127,140,5M 15S
127,142,4M 36S
127,144,4M 4S
127,145,3M 48S
127,146,3M 48S
130,146,3M 12S
132,146,2M 36S
133,146,2M 22S
133,148,2M 2S
136,148,1M 56S
136,150,1M 39S
139,150,1M 28S
139,152,1M 12S
139,154,47S
141,154,6S
End of 4th quarter,NA,0S
