LA Clippers,Atlanta,time_rem
13-5,9-8,48M 0S
0,0,47M 47S
1,0,47M 26S
3,0,46M 28S
3,2,45M 55S
5,2,45M 49S
5,4,45M 36S
7,4,44M 31S
7,6,43M 49S
9,6,43M 33S
9,8,42M 56S
11,8,42M 35S
11,10,41M 55S
13,10,41M 29S
13,12,41M 15S
13,14,40M 37S
13,16,39M 54S
15,16,39M 37S
18,16,39M 1S
18,17,38M 41S
18,18,38M 41S
19,18,38M 26S
19,19,38M 11S
19,20,38M 11S
21,20,37M 48S
21,22,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
23,22,35M 37S
25,22,35M 5S
25,24,34M 52S
25,26,34M 20S
26,26,34M 11S
27,26,34M 11S
30,26,33M 2S
30,27,32M 46S
30,28,32M 46S
30,30,31M 45S
31,30,31M 30S
32,30,31M 30S
32,31,31M 13S
32,32,31M 13S
34,32,30M 56S
34,33,30M 20S
34,34,30M 20S
34,36,29M 53S
37,36,29M 31S
39,36,28M 38S
39,39,28M 28S
41,39,27M 41S
44,39,27M 6S
44,40,26M 29S
44,41,26M 29S
46,41,25M 29S
48,41,25M 0S
48,42,24M 50S
48,43,24M 50S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
48,45,23M 31S
50,45,23M 16S
50,47,22M 38S
52,47,22M 10S
52,49,21M 54S
52,51,21M 31S
55,51,20M 35S
55,53,20M 7S
55,55,19M 10S
55,58,18M 47S
56,58,17M 39S
57,58,17M 39S
59,58,16M 48S
59,60,16M 28S
60,60,16M 4S
61,60,16M 4S
61,61,15M 52S
61,62,15M 52S
61,65,15M 13S
64,65,14M 46S
64,68,14M 30S
64,71,13M 59S
66,71,13M 39S
66,73,13M 26S
67,73,13M 8S
68,73,13M 8S
68,74,12M 54S
68,75,12M 54S
68,76,12M 10S
69,76,12M 3S
70,76,12M 3S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
72,76,11M 35S
74,76,10M 53S
76,76,10M 23S
76,79,10M 9S
78,79,9M 52S
78,82,9M 41S
79,82,9M 24S
79,84,9M 5S
79,86,7M 55S
81,86,7M 31S
81,88,6M 5S
82,88,5M 40S
83,88,5M 40S
83,90,5M 16S
85,90,4M 58S
85,92,4M 8S
85,93,3M 47S
85,94,3M 47S
85,95,3M 47S
87,95,3M 34S
87,98,3M 9S
90,98,2M 56S
90,101,2M 3S
93,101,1M 51S
95,101,1M 19S
96,101,1M 19S
96,104,1M 4S
97,104,54S
97,106,34S
99,106,26S
99,107,23S
99,108,23S
End of 4th quarter,NA,0S
