LA Clippers,Golden State,time_rem
6-4,5-4,48M 0S
0,0,47M 37S
2,0,47M 12S
2,3,46M 57S
5,3,46M 44S
7,3,46M 24S
9,3,45M 31S
9,5,45M 25S
11,5,45M 1S
13,5,43M 57S
13,7,43M 47S
16,7,43M 1S
18,7,41M 57S
19,7,41M 57S
21,7,41M 38S
24,7,41M 7S
24,10,40M 50S
24,12,40M 12S
24,13,39M 19S
24,14,39M 19S
26,14,39M 5S
28,14,37M 54S
28,17,37M 41S
28,20,36M 50S
30,20,36M 36S
30,22,36M 25S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
33,22,35M 25S
35,22,34M 54S
37,22,34M 13S
37,25,34M 4S
37,27,33M 35S
39,27,33M 20S
39,29,33M 1S
39,32,32M 30S
41,32,32M 13S
41,33,31M 38S
41,34,31M 38S
43,34,31M 21S
46,34,30M 45S
46,37,30M 7S
46,40,29M 36S
48,40,28M 11S
48,42,27M 23S
51,42,27M 9S
51,44,26M 55S
53,44,26M 46S
55,44,26M 19S
55,45,26M 8S
55,46,26M 8S
56,46,25M 53S
56,47,25M 30S
56,48,25M 30S
59,48,25M 14S
62,48,24M 52S
62,51,24M 38S
64,51,24M 29S
65,51,24M 29S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
68,51,23M 42S
Jump ball: P. Beverley vs. J. Wiseman (N. Batum gains possession),NA,22M 56S
71,51,22M 48S
71,53,21M 39S
71,55,20M 56S
73,55,20M 32S
73,56,19M 19S
73,57,19M 19S
73,58,19M 19S
76,58,19M 5S
76,61,18M 53S
76,62,18M 11S
76,63,18M 11S
78,63,16M 54S
79,63,16M 54S
80,63,16M 15S
81,63,16M 15S
83,63,15M 38S
84,63,15M 15S
85,63,15M 15S
85,66,15M 4S
85,68,14M 40S
85,69,14M 40S
85,71,14M 19S
85,73,13M 55S
Jump ball: K. Looney vs. I. Zubac (K. Bazemore gains possession),NA,13M 30S
85,76,12M 58S
86,76,12M 42S
87,76,12M 42S
87,78,12M 31S
87,81,12M 2S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
87,83,11M 42S
87,86,11M 12S
87,87,10M 49S
89,87,10M 39S
89,89,10M 25S
89,92,10M 1S
91,92,9M 40S
91,94,9M 3S
91,97,8M 25S
94,97,7M 41S
97,97,7M 9S
97,100,5M 46S
99,100,4M 51S
99,103,4M 27S
102,103,4M 11S
102,105,3M 46S
103,105,3M 28S
103,107,3M 11S
103,109,2M 32S
103,112,1M 30S
103,115,1M 9S
105,115,23S
End of 4th quarter,NA,0S
