LA Clippers,Portland,time_rem
41-19,32-25,48M 0S
0,0,47M 41S
0,3,47M 24S
2,3,47M 7S
2,5,46M 45S
2,7,46M 25S
5,7,46M 11S
7,7,45M 37S
7,9,45M 14S
9,9,44M 59S
9,11,44M 38S
10,11,44M 17S
11,11,44M 17S
11,13,43M 28S
13,13,43M 13S
13,15,43M 0S
16,15,42M 5S
16,17,41M 53S
16,19,41M 24S
18,19,41M 11S
18,21,40M 57S
20,21,39M 38S
21,21,39M 38S
23,21,39M 11S
23,24,38M 25S
25,24,38M 13S
28,24,37M 46S
30,24,37M 17S
30,27,37M 2S
30,29,36M 45S
30,31,36M 4S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,34,35M 49S
32,34,35M 36S
34,34,34M 59S
34,36,34M 48S
37,36,33M 44S
37,39,33M 26S
37,40,32M 58S
37,41,32M 58S
39,41,31M 31S
39,43,31M 15S
42,43,30M 56S
42,45,30M 31S
42,46,30M 25S
44,46,30M 23S
46,46,29M 19S
46,47,28M 26S
46,49,28M 3S
48,49,27M 44S
48,50,27M 30S
48,51,27M 30S
48,53,27M 4S
48,55,26M 33S
48,58,26M 1S
51,58,25M 43S
54,58,25M 14S
56,58,24M 49S
56,59,24M 1S
56,60,24M 1S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
59,60,22M 11S
61,60,21M 33S
61,62,21M 19S
63,62,20M 38S
63,64,20M 17S
64,64,19M 59S
66,64,19M 20S
66,65,19M 1S
66,66,19M 1S
66,68,18M 25S
66,71,17M 43S
68,71,17M 19S
70,71,16M 46S
70,74,16M 34S
73,74,16M 20S
75,74,15M 56S
75,75,15M 35S
77,75,15M 19S
Jump ball: C. Anthony vs. P. George (C. McCollum gains possession),NA,14M 55S
77,78,14M 34S
78,78,14M 15S
79,78,14M 15S
81,78,13M 39S
81,80,13M 15S
83,80,12M 51S
83,82,12M 33S
86,82,12M 9S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
88,82,11M 50S
88,84,11M 26S
88,85,10M 51S
88,86,10M 51S
89,86,10M 28S
90,86,10M 28S
90,88,10M 9S
90,91,9M 28S
90,93,8M 49S
92,93,8M 29S
92,96,8M 9S
94,96,7M 51S
96,96,7M 19S
96,99,6M 57S
96,101,6M 4S
96,102,5M 7S
99,102,4M 29S
99,105,4M 8S
101,105,3M 41S
101,107,2M 48S
103,107,2M 28S
103,109,2M 3S
104,109,1M 53S
105,109,1M 53S
107,109,1M 18S
107,112,1M 3S
109,112,55S
111,112,33S
112,112,4S
113,112,4S
End of 4th quarter,NA,0S
