LA Lakers,Boston,time_rem
15-6,10-8,48M 0S
0,0,47M 41S
0,2,47M 27S
2,2,47M 10S
2,4,46M 55S
4,4,46M 20S
4,5,45M 40S
5,5,45M 34S
6,5,45M 34S
8,5,44M 54S
8,8,44M 30S
9,8,44M 5S
9,10,43M 51S
12,10,43M 9S
12,13,42M 18S
15,13,41M 49S
16,13,41M 5S
17,13,41M 5S
17,15,40M 20S
19,15,40M 2S
19,18,39M 44S
21,18,39M 4S
21,20,38M 48S
23,20,38M 41S
23,22,38M 26S
26,22,38M 2S
26,24,37M 33S
28,24,37M 14S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
30,24,35M 2S
30,26,34M 51S
32,26,33M 50S
32,28,33M 37S
32,30,33M 15S
34,30,33M 4S
34,31,32M 41S
37,31,32M 29S
39,31,31M 34S
41,31,31M 4S
41,33,30M 43S
41,35,29M 32S
43,35,28M 55S
43,37,28M 28S
43,40,27M 58S
45,40,27M 38S
45,42,27M 14S
45,44,26M 26S
46,44,26M 8S
47,44,26M 8S
47,47,25M 47S
49,47,25M 25S
49,49,25M 0S
51,49,24M 7S
52,49,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,51,23M 7S
52,54,22M 49S
55,54,22M 21S
55,56,21M 36S
57,56,21M 28S
57,58,21M 7S
58,58,20M 30S
58,60,20M 9S
60,60,18M 50S
63,60,18M 10S
63,61,17M 49S
63,62,17M 49S
64,62,17M 39S
64,64,17M 28S
66,64,17M 12S
66,66,16M 14S
68,66,15M 26S
68,68,15M 6S
68,70,14M 44S
70,70,14M 4S
70,72,13M 38S
70,74,13M 18S
70,76,12M 46S
70,77,12M 28S
70,78,12M 28S
71,78,12M 7S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
74,78,11M 48S
75,78,11M 24S
77,78,10M 31S
79,78,9M 47S
79,80,8M 48S
81,80,8M 24S
81,81,8M 3S
81,83,7M 17S
83,83,7M 1S
83,85,6M 42S
85,85,6M 12S
88,85,5M 25S
91,85,4M 40S
91,87,4M 16S
93,87,3M 39S
93,89,2M 30S
95,89,1M 40S
96,89,1M 40S
96,90,1M 34S
96,91,1M 34S
96,93,1M 9S
96,95,32S
End of 4th quarter,NA,0S
