LA Lakers,Dallas,time_rem
35-25,33-26,48M 0S
3,0,47M 48S
3,2,47M 24S
3,4,46M 54S
3,5,46M 17S
3,6,46M 17S
3,8,45M 24S
5,8,45M 7S
5,10,44M 54S
5,12,44M 18S
7,12,43M 56S
10,12,43M 28S
10,15,42M 52S
13,15,42M 15S
13,17,41M 21S
16,17,41M 9S
18,17,40M 33S
18,18,39M 35S
21,18,39M 21S
22,18,39M 4S
23,18,39M 4S
23,20,38M 48S
23,21,38M 13S
26,21,37M 47S
26,23,36M 28S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
26,25,34M 58S
28,25,34M 30S
30,25,33M 30S
30,27,33M 21S
30,28,33M 21S
31,28,33M 6S
32,28,33M 6S
32,29,32M 57S
32,30,32M 57S
34,30,32M 42S
36,30,31M 3S
36,32,30M 47S
37,32,29M 45S
38,32,29M 45S
40,32,29M 18S
41,32,28M 56S
42,32,28M 56S
42,35,28M 39S
44,35,28M 21S
44,36,28M 8S
46,36,28M 1S
48,36,27M 47S
48,37,27M 6S
51,37,26M 48S
54,37,26M 22S
54,40,25M 44S
54,43,25M 12S
56,43,24M 49S
58,43,24M 26S
58,44,24M 0S
58,45,24M 0S
58,46,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
58,47,23M 49S
58,48,23M 49S
61,48,23M 22S
61,50,22M 59S
62,50,22M 47S
62,52,21M 40S
62,53,21M 40S
65,53,21M 28S
65,56,21M 4S
65,58,20M 32S
65,61,18M 57S
68,61,18M 44S
68,63,18M 24S
68,65,16M 35S
70,65,16M 21S
70,68,16M 0S
73,68,15M 37S
74,68,14M 18S
75,68,14M 18S
75,71,14M 0S
77,71,13M 38S
77,72,13M 37S
77,74,13M 22S
78,74,12M 59S
79,74,12M 46S
79,76,12M 28S
79,79,12M 1S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
81,79,9M 23S
81,80,9M 10S
83,80,8M 49S
83,83,8M 26S
85,83,8M 10S
87,83,7M 44S
87,85,6M 57S
87,87,6M 15S
87,89,5M 41S
89,89,4M 55S
89,91,4M 38S
89,93,4M 8S
90,93,4M 2S
91,93,4M 2S
91,94,3M 20S
91,95,3M 20S
91,98,3M 0S
91,101,2M 17S
91,103,1M 6S
91,105,56S
93,105,51S
93,108,30S
End of 4th quarter,NA,0S
