LA Lakers,Houston,time_rem
9-3,3-6,48M 0S
0,0,47M 47S
2,0,47M 13S
4,0,46M 41S
4,3,46M 29S
6,3,46M 9S
8,3,45M 56S
8,5,45M 38S
11,5,45M 21S
14,5,44M 48S
14,7,44M 30S
15,7,43M 44S
16,7,43M 44S
16,10,43M 28S
18,10,43M 14S
20,10,42M 44S
22,10,42M 7S
25,10,41M 41S
28,10,40M 57S
28,12,40M 33S
28,14,39M 17S
31,14,38M 56S
33,14,38M 11S
34,14,37M 26S
35,14,37M 26S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,14,35M 47S
39,14,35M 8S
39,16,34M 53S
39,17,34M 53S
39,19,34M 38S
41,19,34M 8S
43,19,33M 45S
45,19,33M 5S
45,22,32M 53S
45,24,32M 26S
48,24,31M 42S
48,26,31M 25S
50,26,31M 15S
50,27,30M 24S
50,28,30M 24S
52,28,30M 10S
52,30,29M 43S
53,30,29M 40S
54,30,29M 40S
54,33,29M 29S
56,33,28M 41S
56,34,28M 27S
56,35,28M 27S
59,35,28M 15S
62,35,27M 35S
62,37,27M 15S
65,37,27M 0S
65,40,26M 46S
67,40,26M 34S
67,42,26M 6S
69,42,25M 53S
69,44,25M 7S
69,45,24M 45S
69,46,24M 45S
71,46,24M 36S
71,48,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
72,48,23M 41S
73,48,23M 41S
75,48,22M 23S
75,50,21M 53S
77,50,21M 0S
77,52,20M 34S
77,53,20M 34S
80,53,20M 25S
80,56,20M 15S
83,56,19M 57S
83,58,18M 5S
85,58,17M 31S
85,60,17M 15S
88,60,16M 37S
88,62,16M 23S
90,62,16M 4S
90,65,15M 8S
93,65,14M 55S
95,65,14M 25S
95,68,14M 3S
96,68,13M 44S
97,68,13M 16S
97,71,12M 52S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,73,11M 44S
97,76,11M 8S
99,76,10M 31S
100,76,10M 31S
100,79,10M 7S
101,79,9M 40S
102,79,9M 40S
103,79,9M 2S
104,79,9M 2S
105,79,8M 44S
106,79,8M 44S
109,79,8M 12S
109,81,7M 31S
109,82,7M 31S
109,84,7M 14S
109,87,6M 2S
111,87,5M 43S
111,89,4M 59S
111,91,4M 18S
112,91,3M 26S
112,92,3M 14S
112,94,2M 43S
113,94,2M 2S
113,95,1M 43S
113,97,1M 5S
115,97,58S
117,97,35S
117,98,28S
117,100,2S
End of 4th quarter,NA,0S
