LA Lakers,Memphis,time_rem
5-2,2-4,48M 0S
0,2,47M 37S
3,2,46M 41S
5,2,46M 14S
8,2,45M 36S
11,2,45M 0S
11,4,44M 37S
13,4,44M 20S
13,7,43M 40S
15,7,43M 17S
15,9,43M 4S
15,10,42M 26S
15,11,42M 26S
18,11,42M 16S
18,14,42M 0S
18,16,41M 42S
18,19,40M 37S
18,22,40M 7S
18,24,39M 44S
18,26,39M 3S
18,28,38M 19S
21,28,37M 44S
21,31,37M 29S
23,31,37M 9S
23,34,36M 54S
25,34,36M 43S
25,36,36M 0S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
27,36,35M 40S
27,39,35M 3S
29,39,34M 17S
29,41,34M 6S
31,41,33M 53S
34,41,33M 20S
34,43,31M 10S
36,43,30M 47S
36,45,30M 35S
37,45,30M 23S
38,45,30M 23S
40,45,29M 59S
41,45,29M 33S
42,45,28M 58S
43,45,28M 58S
43,47,28M 20S
45,47,28M 5S
47,47,27M 13S
47,49,26M 54S
49,49,26M 19S
50,49,26M 3S
51,49,26M 3S
53,49,25M 12S
56,49,24M 45S
56,51,24M 36S
56,52,24M 36S
56,54,24M 7S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
56,56,23M 9S
56,58,21M 45S
56,60,20M 26S
58,60,20M 13S
58,62,19M 36S
60,62,19M 25S
60,64,19M 12S
62,64,18M 40S
62,66,17M 47S
65,66,17M 36S
67,66,16M 16S
69,66,15M 24S
69,69,15M 12S
71,69,14M 36S
71,70,14M 18S
71,71,14M 18S
73,71,13M 30S
73,73,13M 15S
74,73,12M 51S
75,73,12M 51S
75,75,12M 30S
77,75,12M 11S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
78,75,11M 18S
78,77,11M 0S
80,77,10M 42S
82,77,10M 16S
82,79,10M 0S
85,79,8M 44S
85,81,7M 49S
87,81,7M 23S
87,83,7M 7S
90,83,6M 54S
92,83,6M 4S
92,84,5M 35S
92,85,5M 35S
93,85,5M 20S
95,85,4M 54S
95,87,4M 34S
95,90,4M 7S
96,90,3M 41S
98,90,3M 3S
101,90,2M 34S
102,90,2M 5S
103,90,2M 5S
105,90,1M 27S
105,92,1M 13S
108,92,59S
108,94,39S
End of 4th quarter,NA,0S
