Memphis,Dallas,time_rem
13-14,14-15,48M 0S
0,0,47M 41S
0,3,46M 56S
0,4,46M 24S
0,5,46M 24S
2,5,46M 8S
2,7,44M 21S
2,10,43M 10S
2,11,42M 24S
2,12,42M 24S
5,12,42M 10S
5,15,41M 33S
5,18,40M 16S
5,20,39M 19S
7,20,38M 59S
9,20,38M 6S
9,23,37M 27S
9,24,37M 27S
11,24,37M 14S
11,26,36M 33S
13,26,36M 11S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
13,29,35M 23S
15,29,34M 59S
15,31,34M 34S
17,31,34M 17S
17,33,33M 45S
19,33,33M 34S
19,35,32M 57S
21,35,32M 40S
21,37,32M 23S
23,37,30M 57S
23,40,30M 18S
23,43,29M 27S
25,43,29M 6S
25,45,28M 38S
25,48,28M 19S
28,48,28M 6S
30,48,27M 32S
30,51,27M 14S
32,51,26M 50S
32,54,26M 38S
33,54,25M 57S
34,54,25M 57S
36,54,24M 11S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
36,56,22M 57S
38,56,22M 44S
38,58,22M 33S
40,58,22M 23S
40,60,21M 42S
42,60,21M 25S
42,62,21M 12S
42,63,21M 12S
43,63,20M 13S
44,63,20M 13S
46,63,19M 46S
46,65,19M 25S
48,65,18M 40S
48,66,18M 25S
48,67,18M 25S
50,67,18M 6S
50,69,17M 53S
52,69,17M 43S
53,69,17M 43S
53,71,16M 21S
53,72,16M 9S
53,73,16M 9S
55,73,15M 48S
55,74,15M 39S
55,75,15M 39S
55,77,14M 53S
57,77,14M 46S
57,79,14M 5S
59,79,13M 53S
59,81,12M 48S
62,81,12M 31S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
62,83,10M 45S
64,83,10M 29S
64,86,10M 18S
67,86,10M 2S
67,87,9M 22S
69,87,9M 11S
70,87,8M 46S
71,87,8M 46S
71,90,8M 29S
73,90,8M 16S
73,92,7M 37S
75,92,6M 22S
75,95,6M 11S
77,95,5M 57S
78,95,5M 30S
78,96,5M 15S
79,96,4M 39S
79,97,3M 53S
82,97,3M 36S
84,97,2M 42S
84,100,2M 26S
85,100,2M 12S
87,100,1M 37S
90,100,1M 4S
90,101,55S
90,102,55S
91,102,4S
92,102,4S
End of 4th quarter,NA,0S
