Memphis,Milwaukee,time_rem
29-26,35-21,48M 0S
0,2,47M 40S
2,2,47M 25S
5,2,46M 57S
5,5,46M 32S
7,5,46M 19S
7,8,45M 50S
9,8,45M 25S
9,11,45M 13S
12,11,45M 2S
12,13,44M 25S
14,13,44M 4S
15,13,44M 4S
15,15,43M 55S
15,16,43M 38S
15,17,43M 38S
15,19,43M 25S
15,20,43M 25S
17,20,42M 47S
19,20,41M 31S
20,20,41M 2S
21,20,41M 2S
22,20,41M 2S
25,20,39M 59S
25,22,39M 18S
28,22,39M 6S
28,25,38M 50S
29,25,38M 19S
30,25,38M 19S
32,25,37M 45S
32,27,37M 31S
35,27,37M 17S
35,30,36M 29S
35,31,36M 2S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
37,31,35M 46S
37,34,35M 29S
40,34,34M 37S
43,34,34M 16S
43,36,33M 56S
45,36,33M 10S
45,38,32M 53S
45,39,32M 25S
47,39,32M 1S
47,42,31M 48S
50,42,31M 25S
52,42,31M 14S
53,42,31M 14S
53,43,31M 2S
53,44,31M 2S
55,44,30M 38S
56,44,30M 38S
56,46,29M 58S
56,47,28M 55S
58,47,28M 35S
60,47,28M 13S
60,49,27M 59S
62,49,27M 40S
62,52,27M 28S
63,52,27M 8S
64,52,27M 8S
64,55,26M 6S
67,55,25M 46S
67,56,25M 14S
67,57,25M 14S
69,57,24M 56S
69,59,24M 27S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
71,59,23M 40S
73,59,22M 54S
Jump ball: G. Antetokounmpo vs. J. Valančiūnas (K. Middleton gains possession),NA,22M 29S
73,62,22M 22S
75,62,21M 45S
75,64,21M 36S
77,64,20M 58S
77,66,20M 44S
79,66,20M 21S
79,68,20M 9S
82,68,19M 54S
84,68,19M 16S
84,70,18M 46S
87,70,18M 27S
87,72,18M 11S
87,74,17M 34S
89,74,16M 43S
89,77,16M 24S
91,77,15M 55S
91,78,15M 41S
91,79,15M 41S
91,80,15M 41S
91,82,15M 21S
93,82,14M 25S
93,83,13M 47S
95,83,13M 27S
98,83,13M 5S
98,85,12M 50S
98,86,12M 50S
98,89,12M 5S
100,89,12M 0S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,92,11M 46S
100,93,10M 53S
101,93,10M 43S
103,93,10M 19S
103,94,10M 11S
106,94,9M 50S
108,94,8M 42S
108,97,8M 26S
110,97,7M 55S
110,99,7M 28S
112,99,7M 11S
112,102,6M 56S
114,102,6M 41S
114,105,6M 30S
116,105,5M 43S
118,105,5M 12S
118,107,4M 43S
121,107,4M 21S
121,109,4M 3S
123,109,3M 44S
123,110,3M 0S
123,111,3M 0S
126,111,2M 51S
126,113,2M 38S
126,114,2M 3S
126,115,2M 3S
128,115,1M 29S
End of 4th quarter,NA,0S
