Memphis,Oklahoma City,time_rem
17-18,17-22,48M 0S
0,3,47M 41S
2,3,47M 24S
2,5,47M 12S
2,7,46M 43S
4,7,46M 25S
7,7,45M 58S
7,9,44M 55S
9,9,44M 32S
9,10,44M 11S
9,11,44M 11S
11,11,44M 2S
11,14,43M 38S
13,14,43M 3S
13,15,42M 48S
13,16,42M 48S
15,16,42M 34S
17,16,41M 40S
17,18,40M 57S
17,19,40M 23S
17,20,40M 23S
19,20,39M 45S
21,20,39M 8S
23,20,38M 36S
23,22,38M 23S
25,22,38M 13S
25,24,38M 1S
25,25,37M 37S
25,26,37M 37S
27,26,37M 27S
27,27,37M 8S
27,28,37M 8S
29,28,36M 53S
31,28,36M 18S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
31,30,34M 46S
31,32,34M 21S
32,32,34M 8S
32,34,33M 54S
32,35,33M 27S
32,36,33M 27S
34,36,33M 7S
34,38,32M 51S
34,41,32M 29S
35,41,32M 11S
36,41,32M 11S
38,41,31M 51S
38,43,31M 33S
40,43,30M 51S
40,44,30M 51S
40,46,30M 36S
42,46,30M 21S
44,46,29M 53S
44,48,29M 32S
46,48,29M 16S
47,48,28M 52S
48,48,28M 52S
49,48,28M 21S
50,48,28M 21S
51,48,28M 5S
53,48,28M 0S
53,50,27M 15S
55,50,27M 6S
58,50,26M 44S
58,53,26M 28S
58,55,25M 58S
59,55,24M 59S
62,55,24M 28S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
64,55,23M 48S
65,55,23M 48S
67,55,23M 2S
67,57,22M 18S
69,57,22M 2S
69,58,21M 51S
69,59,21M 51S
69,60,21M 51S
71,60,21M 41S
72,60,21M 41S
72,63,21M 27S
72,66,21M 7S
74,66,20M 44S
74,69,20M 35S
76,69,20M 17S
76,72,20M 2S
78,72,19M 42S
78,74,19M 29S
81,74,19M 12S
81,77,19M 0S
84,77,18M 23S
84,79,18M 10S
84,80,18M 10S
84,82,17M 36S
86,82,17M 18S
87,82,16M 56S
87,83,16M 24S
87,84,16M 24S
90,84,16M 10S
92,84,15M 45S
92,86,15M 31S
94,86,15M 20S
96,86,14M 59S
97,86,13M 32S
98,86,13M 32S
98,87,13M 17S
98,88,13M 17S
98,90,12M 50S
100,90,12M 5S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
102,90,11M 35S
102,93,11M 12S
102,96,10M 43S
103,96,10M 27S
104,96,10M 27S
104,98,9M 33S
104,101,9M 13S
104,102,9M 13S
104,104,8M 38S
106,104,7M 43S
106,105,7M 26S
106,106,7M 26S
108,106,6M 51S
108,109,6M 10S
108,112,5M 41S
110,112,5M 29S
110,114,5M 5S
110,117,4M 35S
111,117,4M 16S
112,117,4M 16S
112,118,3M 52S
112,119,3M 52S
114,119,3M 38S
114,122,3M 12S
115,122,2M 51S
115,124,1M 53S
115,126,1M 13S
116,126,1M 8S
117,126,1M 8S
120,126,25S
120,127,24S
122,127,19S
122,128,7S
End of 4th quarter,NA,0S
