Memphis,Philadelphia,time_rem
24-23,34-16,48M 0S
0,0,47M 42S
0,2,47M 31S
0,5,46M 48S
1,5,46M 0S
4,5,45M 51S
6,5,45M 19S
6,8,45M 0S
6,10,44M 34S
8,10,44M 1S
10,10,43M 25S
11,10,42M 32S
11,12,42M 12S
13,12,41M 43S
13,14,40M 57S
15,14,40M 46S
17,14,40M 21S
17,16,40M 0S
19,16,39M 39S
19,17,39M 30S
19,18,39M 30S
21,18,38M 40S
22,18,37M 43S
23,18,37M 43S
26,18,36M 58S
26,20,36M 43S
29,20,36M 32S
29,22,36M 21S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
29,23,35M 39S
31,23,35M 28S
31,25,35M 11S
33,25,33M 49S
36,25,33M 29S
38,25,32M 43S
38,28,32M 16S
38,31,31M 56S
38,33,30M 55S
41,33,29M 8S
41,35,28M 29S
44,35,28M 15S
46,35,27M 45S
46,37,26M 51S
46,38,25M 48S
46,39,25M 48S
49,39,25M 33S
50,39,25M 33S
50,42,24M 50S
52,42,24M 25S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
52,44,23M 45S
55,44,23M 34S
58,44,23M 5S
61,44,22M 42S
61,46,22M 26S
62,46,22M 21S
63,46,22M 21S
66,46,22M 0S
66,48,21M 42S
66,51,21M 19S
68,51,20M 50S
68,52,20M 22S
68,53,20M 22S
70,53,20M 3S
71,53,19M 20S
73,53,18M 42S
75,53,18M 13S
76,53,17M 39S
77,53,17M 39S
77,56,16M 52S
79,56,16M 34S
79,58,16M 11S
79,60,15M 48S
81,60,15M 24S
82,60,15M 24S
82,61,15M 13S
85,61,14M 58S
88,61,14M 33S
88,62,14M 25S
88,63,14M 25S
90,63,13M 57S
90,65,13M 40S
92,65,13M 29S
92,66,13M 17S
92,67,13M 17S
94,67,13M 1S
94,69,12M 48S
97,69,12M 33S
97,71,12M 25S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
97,73,11M 21S
97,74,10M 38S
99,74,10M 24S
101,74,10M 6S
102,74,10M 6S
102,76,9M 48S
102,78,8M 50S
102,80,8M 2S
105,80,7M 37S
105,82,6M 46S
105,84,6M 22S
105,86,5M 38S
105,87,5M 12S
105,88,5M 12S
107,88,4M 58S
107,90,4M 36S
107,92,4M 17S
107,94,3M 36S
109,94,2M 43S
109,97,2M 35S
112,97,2M 13S
114,97,1M 30S
114,98,1M 18S
114,99,1M 18S
114,100,44S
116,100,29S
End of 4th quarter,NA,0S
