Memphis,San Antonio,time_rem
8-6,11-9,48M 0S
0,2,47M 48S
2,2,47M 34S
2,5,47M 22S
5,5,47M 8S
8,5,46M 42S
8,8,46M 21S
11,8,46M 3S
12,8,45M 28S
14,8,44M 4S
14,9,43M 43S
16,9,43M 32S
16,12,43M 16S
18,12,43M 6S
18,14,42M 40S
20,14,42M 12S
20,17,41M 51S
20,20,41M 14S
22,20,40M 57S
22,23,40M 32S
25,23,38M 51S
27,23,38M 10S
29,23,37M 39S
29,25,37M 22S
32,25,37M 12S
32,27,36M 58S
34,27,36M 29S
35,27,36M 29S
End of 1st quarter,NA,36M 0S
Start of 2nd quarter,NA,36M 0S
35,29,35M 24S
35,32,34M 25S
38,32,34M 8S
38,34,33M 42S
38,36,33M 28S
40,36,33M 12S
40,38,31M 56S
42,38,31M 40S
42,40,31M 27S
44,40,31M 9S
44,42,30M 31S
46,42,30M 20S
46,44,29M 58S
49,44,29M 52S
51,44,29M 17S
51,45,28M 19S
51,46,28M 19S
53,46,28M 7S
53,48,27M 39S
54,48,27M 21S
54,50,26M 44S
56,50,26M 30S
58,50,26M 10S
60,50,25M 28S
61,50,25M 28S
61,51,25M 15S
61,52,25M 15S
61,54,24M 55S
64,54,24M 4S
64,56,24M 0S
End of 2nd quarter,NA,24M 0S
Start of 3rd quarter,NA,24M 0S
66,56,23M 26S
66,59,23M 6S
66,60,22M 35S
68,60,22M 24S
68,62,22M 11S
69,62,22M 11S
71,62,22M 0S
71,64,20M 52S
73,64,20M 39S
75,64,20M 21S
76,64,20M 21S
78,64,19M 30S
78,66,19M 10S
80,66,18M 52S
80,69,18M 42S
82,69,18M 30S
85,69,18M 7S
87,69,17M 34S
87,72,17M 23S
87,75,16M 54S
90,75,16M 41S
90,77,16M 23S
90,80,15M 56S
92,80,15M 32S
92,82,15M 13S
94,82,14M 25S
94,83,14M 16S
94,84,14M 16S
97,84,13M 34S
97,85,13M 4S
97,86,13M 4S
97,88,12M 33S
100,88,12M 12S
100,90,12M 6S
End of 3rd quarter,NA,12M 0S
Start of 4th quarter,NA,12M 0S
100,92,11M 47S
102,92,11M 28S
104,92,10M 35S
104,93,9M 7S
104,94,9M 7S
106,94,8M 49S
106,95,8M 31S
106,96,8M 31S
106,97,8M 8S
106,98,8M 8S
106,100,7M 16S
109,100,6M 25S
110,100,5M 37S
110,102,5M 28S
110,105,5M 3S
113,105,4M 47S
116,105,4M 16S
118,105,3M 51S
118,106,3M 40S
120,106,3M 28S
120,108,3M 17S
121,108,3M 0S
122,108,3M 0S
123,108,2M 25S
126,108,1M 49S
126,109,45S
126,110,45S
129,110,32S
129,111,26S
129,112,26S
End of 4th quarter,NA,0S
